gene,symbol,mean_abs_shap,mean_shap,shap_std,shap_expression_spearman,boruta_fold_frequency,core_model_rank,direction_sign,signed_importance,direction,shap_rank,single_gene_auc,single_gene_ci_lo,single_gene_ci_hi,log2FC,pvalue,padj,hedges_g_meta,I2,same_direction_datasets,is_deg,in_overlap_panel,in_core_topN
ENSG00000085719,CPNE3,0.013975375079808767,0.0008237795615647784,0.016911582862571647,-0.6656586021505376,0.4,461,-1,-0.013975375079808767,Higher expression lowers PD probability,19,0.6626262626262627,0.5170889938984492,0.7931558962808962,-0.472771262553419,0.0271879598371368,0.9613252214112156,-0.5581699444139162,0.0,4,False,False,False
ENSG00000089280,FUS,0.013804463569827348,0.0008213744296575376,0.015628949225780675,0.9086021505376345,0.36,556,1,0.013804463569827348,Higher expression raises PD probability,20,0.7191919191919192,0.5822923681257014,0.8477822580645161,0.6849462274435189,0.002887350725337,0.8543518830444778,0.8925165752231696,0.6497714393702673,4,True,True,False
ENSG00000164181,ELOVL7,0.013735632671756896,0.0001759254504932081,0.01732725084762297,-0.891705069124424,0.4,876,-1,-0.013735632671756896,Higher expression lowers PD probability,21,0.7111111111111111,0.571980162285942,0.8353564491064491,-0.8040966421734407,0.0041126849962589,0.931162346221884,-0.6831983523517949,0.0,4,True,True,False
ENSG00000114302,PRKAR2A,0.013724461345554608,-0.00045236690428373356,0.017421775356613402,0.774682875954354,0.32,407,1,0.013724461345554608,Higher expression raises PD probability,22,0.6742424242424243,0.5277511760752688,0.8073038859827053,0.6421121923764588,0.0179280636346651,0.9613252214112156,0.6889060107623163,0.0,4,False,False,False
ENSG00000152484,USP12,0.013655817495284012,0.0010440022483688312,0.01572421771853898,-0.941820276497696,0.48,502,-1,-0.013655817495284012,Higher expression lowers PD probability,23,0.7464646464646464,0.6132458847736626,0.8629122778143515,-0.6115030569146175,0.00080503305593,0.5249367602502428,-1.0614387240672607,0.5978617160992059,4,True,True,False
ENSG00000110693,SOX6,0.012708931336762331,0.0009861670431245274,0.01451268472181533,-0.9331797235023042,0.36,185,-1,-0.012708931336762331,Higher expression lowers PD probability,24,0.7343434343434344,0.607049786628734,0.8551133786848072,-1.0390035901435404,0.0014429753630505,0.6760339575891914,-0.7692889853524748,0.0,4,True,True,False
ENSG00000145050,MANF,0.012573489720975902,0.0007099268119106946,0.013956292614040003,0.7961309523809524,0.16,861,1,0.012573489720975902,Higher expression raises PD probability,25,0.6757575757575758,0.5332392969421119,0.8125,0.5467927527531135,0.016953475524816,0.9613252214112156,0.5501630036073192,0.0,4,False,False,False
ENSG00000100600,LGMN,0.012321979100104526,0.0007594965206716636,0.013440706495032756,-0.693836405529954,0.2,2483,-1,-0.012321979100104526,Higher expression lowers PD probability,26,0.6606060606060606,0.5101199196153557,0.8025181179163032,-0.4940885227545988,0.029162383129918,0.9701237748899372,-0.4551895743131892,0.0,4,False,False,False
ENSG00000139874,SSTR1,0.012224819142459454,-0.00016278918922313544,0.014346959350454346,-0.9418682795698925,0.48,204,-1,-0.012224819142459454,Higher expression lowers PD probability,27,0.7535353535353535,0.6315928447992101,0.8651319583033434,-1.1363034736814095,0.000566025005602,0.5249367602502428,-0.9346415553753676,0.151995224217887,4,True,True,False
ENSG00000119866,BCL11A,0.012003064636660876,0.0009569591349649066,0.014046352552043409,0.9455165130568357,0.4,1048,1,0.012003064636660876,Higher expression raises PD probability,28,0.7414141414141414,0.61288676761027,0.8592050958314359,0.8594363510818125,0.0010298290629904,0.5263362720120244,0.7031794754162113,0.0,4,True,True,False
ENSG00000141837,CACNA1A,0.011998198939953682,-0.0004190572129555477,0.014275035276339951,0.49908794162826425,0.24,2985,1,0.011998198939953682,Higher expression raises PD probability,29,0.6353535353535353,0.4808061343659722,0.7820564516129033,0.4336155124078592,0.0661754642115616,1.0,0.4814977993139482,0.2625043154726165,3,False,False,False
ENSG00000196367,TRRAP,0.00988851544528239,0.0009609487069467148,0.011522006208855582,0.9343317972350231,0.32,865,1,0.00988851544528239,Higher expression raises PD probability,30,0.7323232323232324,0.5973483609239024,0.8503166803166803,0.9029476524022052,0.001586432753544,0.686071149263414,0.8322070656777519,0.5390502978566386,3,True,True,False
