curve,curve_type,fpr,tpr,auc,ci_lo,ci_hi
ENSG00000005700,single_gene,0.2,0.5757575757575758,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.36666666666666664,0.5757575757575758,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.36666666666666664,0.6363636363636364,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.4,0.6363636363636364,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.4,0.6666666666666666,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.43333333333333335,0.6666666666666666,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.43333333333333335,0.8484848484848485,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.5333333333333333,0.8484848484848485,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.5333333333333333,0.8787878787878788,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.6,0.8787878787878788,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.6,0.9090909090909091,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.6333333333333333,0.9090909090909091,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.6333333333333333,0.9696969696969697,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.7,0.9696969696969697,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.7,1.0,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.8333333333333334,1.0,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.9,1.0,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,1.0,1.0,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000085719,single_gene,0.0,0.0,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.0,0.030303030303030304,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.0,0.15151515151515152,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.03333333333333333,0.15151515151515152,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.03333333333333333,0.42424242424242425,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.06666666666666667,0.42424242424242425,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.06666666666666667,0.48484848484848486,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.23333333333333334,0.48484848484848486,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.23333333333333334,0.5151515151515151,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.3333333333333333,0.5151515151515151,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.3333333333333333,0.5454545454545454,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.36666666666666664,0.5454545454545454,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.36666666666666664,0.6363636363636364,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.43333333333333335,0.6363636363636364,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.43333333333333335,0.6666666666666666,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.4666666666666667,0.6666666666666666,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.4666666666666667,0.696969696969697,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.5,0.696969696969697,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.5,0.7272727272727273,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.6666666666666666,0.7272727272727273,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.6666666666666666,0.7575757575757576,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.7666666666666667,0.7575757575757576,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.7666666666666667,0.8181818181818182,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.8333333333333334,0.8181818181818182,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.8333333333333334,0.8787878787878788,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.8666666666666667,0.8787878787878788,0.6626262626262627,0.5170889938984492,0.7931558962808962
ENSG00000085719,single_gene,0.8666666666666667,0.9090909090909091,0.6626262626262627,0.5170889938984492,0.7931558962808962
