gene,g_original,g_composition_removed,lineage,panel
ENSG00000011021,-0.18381070444534245,0.13224994292847633,0.14196147636536985,False
ENSG00000011114,-0.0037419869730886918,-0.10709007798119133,-2.02893256003333,False
ENSG00000011275,-0.049564942978927676,0.04445277052782086,0.312290695782534,False
ENSG00000011295,-0.011635371841499638,0.11778776569976712,-0.8271925104027223,False
ENSG00000011376,-0.33946633559381356,-0.14505273757845188,-0.6805231904025051,False
ENSG00000011405,-0.42129387327743284,-0.715934711374748,-0.6118130018259809,False
ENSG00000011426,-0.20216411148759683,-0.5673585971730836,-0.2228369377891367,False
ENSG00000011451,0.2733933756251403,0.3402000684784422,-0.32961234879725065,False
ENSG00000011485,-0.4903984428332375,-0.13727577026174262,-2.4923832631814,False
ENSG00000011523,0.14755946613700932,0.05935623955134472,-0.012491515132069198,False
ENSG00000011566,-0.08442716105882962,-0.11554381819109409,-0.8145829781376723,False
ENSG00000012061,-0.25407296437942917,-0.28044091970957413,0.0,False
ENSG00000012174,-0.22767887559274905,-0.08583181885178758,0.0,False
ENSG00000012232,-0.14186890970360974,-0.06348847790593057,1.2280470504451566,False
ENSG00000012660,-0.25442340390145585,-0.08867101327605081,-7.217652261606146,False
ENSG00000012822,-0.18230540898537773,-0.13235929050837295,0.0,False
ENSG00000012963,0.022920307060143086,-0.06740095291894864,0.0,False
ENSG00000012983,-0.10146047484493652,-0.3217312193654439,-0.67343309902693,False
ENSG00000013016,0.05305821730067161,0.04571446274324596,1.499572242211,False
ENSG00000013275,0.13423755841448023,0.26950421595712526,-2.6433128586599333,False
ENSG00000013288,0.31160344067321477,0.35348717918614136,0.0,False
ENSG00000013293,0.09478774082259112,0.12833802751674106,-0.574881928698805,False
ENSG00000013374,0.1032918724379838,0.17205653270117985,-2.7874511046927353,False
ENSG00000013375,0.08604841984384566,-0.018127520908278044,0.0,False
ENSG00000013392,0.2911443798544149,0.39694619573924617,0.6057194830176433,False
ENSG00000013441,0.31769963633005904,0.2640711003682466,0.1463769450612588,False
ENSG00000013523,0.0871830879881472,0.10842728964510667,0.34261601471093,False
ENSG00000013561,-0.2447327382837791,-0.020162948983721854,-2.4444650054607475,False
ENSG00000013588,0.30195225477619847,0.25946226105763276,-0.7002235485529269,False
ENSG00000014123,-0.17494254154534833,-0.08844235692673906,0.0,False
ENSG00000014216,0.04547632201143576,0.3033823545294367,0.0,False
ENSG00000014641,0.06952759457652984,0.20645112244022432,-1.9987235261381882,False
ENSG00000014824,-0.1106842355711546,0.03130220779702865,0.0,False
ENSG00000014919,0.20486862600281278,0.13180710874057525,-0.19486117576209505,False
ENSG00000015153,0.04933825565289371,0.1460501628459544,-1.2473364255457802,False
ENSG00000015171,0.010062650559165123,-0.11539764708486282,0.2658629539746867,False
ENSG00000015532,-0.1420999029541183,-0.02306194148068829,0.0,False
ENSG00000015592,0.23987224434635182,0.1915768014658992,-0.8713860028594426,False
ENSG00000015676,0.07193466422122445,0.15782812358172907,0.0,False
ENSG00000016864,-0.15196949261901843,-0.21120064864872476,-1.3318232652199389,False
ENSG00000017260,0.22830633151982704,0.14347330682403533,-2.028820423050209,False
ENSG00000017427,0.49409073898312766,0.44016624732012816,1.4132857231936824,False
ENSG00000017797,-0.020681263288769087,0.03375373865157407,-2.73759200775685,False
ENSG00000018189,-0.17780745562398953,0.09048658828974919,-0.7727280138135476,False
ENSG00000018236,-0.17032889226938602,-0.05195816715189719,-1.8385334910642812,False
ENSG00000018510,-0.2120228237674991,-0.21000066585035396,-2.418133395033549,False
ENSG00000018625,-0.2019020665593721,-0.42822258899968557,0.0,False
ENSG00000019505,0.30857349688150565,0.3279502990252392,1.5161438068586228,False
ENSG00000019582,0.21930206846215017,-0.04557368082031728,0.0,False
ENSG00000019995,0.3956128531583273,0.4058363722416173,0.0,False
ENSG00000020129,0.163861377272941,0.2947511559289179,-2.77975566720225,False
ENSG00000020426,-0.20280211380008195,-0.087300018653566,-1.584567947102325,False
ENSG00000020577,0.03245194849574619,-0.32818598947862254,0.11132740603927416,False
ENSG00000021300,0.2427513660594942,-0.2464737095677332,2.5121814201419617,False
ENSG00000021355,-0.10734360220955645,-0.09891757397995601,-2.3773891539289416,False
ENSG00000021574,-0.17798930382010333,-0.19253053995642294,0.03571554777934005,False
ENSG00000021645,-0.2902525640225603,-0.033873973464005176,-0.43520727886485644,False
ENSG00000021762,-0.03894336904575057,-0.03204021114172424,-0.50854172451115,False
ENSG00000021776,-0.010517775293102419,-0.049387570361824194,0.0,False
ENSG00000022267,0.3087317964295127,0.24054174206718046,0.0,False
ENSG00000022355,-0.06866970970552018,-0.041927783467130005,0.0,False
ENSG00000022567,0.5595893429898363,0.5433660447309125,0.0,False
ENSG00000022840,-0.053656434562357656,-0.06302283098718392,0.0,False
ENSG00000023041,-0.16174233671462163,-0.12526191212682974,0.31667654575073834,False
ENSG00000023171,-0.025784646878304743,0.08286157199107039,-1.0586419319878575,False
