list,draw,n_significant,best_p_adj
down,4,7,0.01041937720846607
down,5,1,0.048137990131103536
down,6,9,0.012847169803623408
down,7,12,0.015608619470383318
down,8,8,0.03175026680896524
down,9,0,1.0
down,10,6,0.007846645899770969
down,11,25,0.001652512494872028
down,12,0,1.0
down,13,0,1.0
down,14,21,0.0045459339913237655
down,15,0,1.0
down,16,1,0.027432279051613367
down,17,10,0.019210245464247877
down,18,1,0.03417167252257248
down,19,0,1.0
down,20,1,0.027748132337246934
down,21,10,0.038911645650503576
down,22,17,0.0006923517281252446
down,23,0,1.0
down,24,6,0.03915912978341371
down,25,36,0.009665639120949598
down,26,17,0.03401578633134878
down,27,0,1.0
down,28,7,0.0382329691645622
down,29,3,0.02814128911308574
down,30,0,1.0
down,31,0,1.0
down,32,24,0.0104055496264676
down,33,0,1.0
down,34,0,1.0
down,35,3,0.02027748132337276
down,36,6,0.013182251417899367
down,37,0,1.0
down,38,13,0.027720981522826982
down,39,0,1.0
down,40,1,0.010744309295215235
down,41,7,0.021039567939267322
down,42,9,0.040390653366012816
down,43,40,0.004238888131379048
down,44,9,0.03198574791095421
down,45,11,0.014912957779671077
down,46,6,0.007358357524335823
down,47,0,1.0
down,48,9,0.008574950723310869
down,49,0,1.0
down,50,0,1.0
down,51,1,0.004272750581278115
down,52,39,0.001351766088680611
down,53,1,0.038273783929332825
down,54,6,0.0022950920088323314
down,55,16,0.03954601559899793
down,56,0,1.0
down,57,47,0.0365558990488287
down,58,14,0.027392387050871974
down,59,6,0.03557452863749607
down,60,18,0.020470878663010693
down,61,14,0.038420490928495754
down,62,1,0.03554689151126619
down,63,0,1.0
down,64,3,0.025728716563398236
down,65,0,1.0
down,66,0,1.0
down,67,2,0.012193733452650804
down,68,0,1.0
down,69,0,1.0
down,70,0,1.0
down,71,0,1.0
down,72,0,1.0
down,73,5,0.045250800426895
down,74,0,1.0
down,75,1,0.0068887650054846655
down,76,0,1.0
down,77,0,1.0
down,78,12,0.04158147228424047
down,79,8,0.005080066628270349
down,80,0,1.0
down,81,27,0.0004887146595601152
down,82,0,1.0
down,83,0,1.0
down,84,8,0.030149413020277918
down,85,18,0.012541346298335044
down,86,0,1.0
down,87,6,0.04660263251511985
down,88,0,1.0
down,89,16,0.03577848020397933
down,90,2,0.0033217050207594223
down,91,0,1.0
down,92,0,1.0
down,93,12,0.018143009605122995
down,94,0,1.0
down,95,5,0.04695837780149481
down,96,0,1.0
down,97,4,0.0019650559876475955
down,98,0,1.0
down,99,5,0.03892324079886485
all,0,1,0.017291462516164056
all,1,0,1.0
all,2,0,1.0
all,3,0,1.0
all,4,1,0.033707201723428296
all,5,0,1.0
all,6,0,1.0
all,7,0,1.0
all,8,1,0.022884212887366282
all,9,2,0.014570164320373497
all,10,0,1.0
all,11,1,0.03577611681703287
all,12,0,1.0
all,13,0,1.0
all,14,0,1.0
all,15,0,1.0
all,16,0,1.0
all,17,10,0.034969454461523976
all,18,0,1.0
all,19,2,0.03745437720773978
all,20,0,1.0
all,21,1,0.03445846968709618
all,22,0,1.0
all,23,4,0.019736208637581777
all,24,0,1.0
all,25,6,0.034582539297184745
all,26,0,1.0
all,27,0,1.0
all,28,0,1.0
all,29,0,1.0
all,30,0,1.0
all,31,0,1.0
all,32,0,1.0
all,33,0,1.0
all,34,0,1.0
all,35,0,1.0
all,36,2,0.026651068312768863
all,37,1,0.03952295126810583
all,38,1,0.03708387690135113
all,39,0,1.0
all,40,4,0.014465621080248486
all,41,0,1.0
all,42,0,1.0
all,43,0,1.0
all,44,0,1.0
