original | core,original | panel,composition (50 markers) | core,composition (50 markers) | panel,composition (25 markers) | core,composition (25 markers) | panel,composition (100 markers) | core,composition (100 markers) | panel,composition (200 markers) | core,composition (200 markers) | panel,SOX6_AGTR1 markers only | core,SOX6_AGTR1 markers only | panel,composition + dopamine purity | core,composition + dopamine purity | panel,person,dataset,y
0.356,0.389,0.46820000000000006,0.6382,0.483,0.5634,0.47739999999999994,0.592,0.5536000000000001,0.5956,0.3970000000000001,0.48860000000000003,0.5694,0.6135999999999999,PD-13-29,GSE182622,1
0.7276,0.9092,0.6812,0.7862,0.6374000000000001,0.7697999999999999,0.8206000000000001,0.8136000000000001,0.7692,0.8343999999999999,0.7072,0.8069999999999998,0.6806000000000001,0.7278,PD-95-19,GSE182622,1
0.536,0.7492,0.41720000000000007,0.6656,0.582,0.6208,0.5086,0.6102000000000001,0.551,0.6769999999999999,0.5316000000000001,0.7145999999999999,0.5044000000000001,0.6367999999999999,PD-96-36,GSE182622,1
0.2814,0.1564,0.271,0.27,0.4164,0.21539999999999998,0.31500000000000006,0.17880000000000001,0.3296,0.12000000000000002,0.2476,0.36639999999999995,0.3826,0.40099999999999997,C-1074p-SNc,GSE20141,0
0.28419999999999995,0.22440000000000002,0.31779999999999997,0.3368,0.3628,0.30619999999999997,0.3378,0.27280000000000004,0.31379999999999997,0.2042,0.2246,0.30979999999999996,0.3402,0.32480000000000003,C-1271p-SNc,GSE20141,0
0.361,0.3296,0.3938,0.41739999999999994,0.33419999999999994,0.3798,0.3106,0.3644,0.3356,0.373,0.2918,0.331,0.39039999999999997,0.4112,C-2829-SNc,GSE20141,0
0.49939999999999996,0.3416,0.41899999999999993,0.1668,0.4852,0.1968,0.44420000000000004,0.2118,0.5392,0.3234,0.565,0.23440000000000003,0.3618,0.3168,C-3132p-SNc,GSE20141,0
0.549,0.4706,0.5065999999999999,0.3964,0.5172000000000001,0.4156000000000001,0.5522,0.39780000000000004,0.5264,0.4022,0.6104,0.5388,0.5402000000000001,0.4646,C-3397-SNc,GSE20141,0
0.35019999999999996,0.27480000000000004,0.33140000000000003,0.133,0.358,0.15919999999999998,0.4444,0.11379999999999998,0.3274,0.1436,0.3728,0.1918,0.3658,0.18,C-3543-SNc,GSE20141,0
0.4276,0.5599999999999999,0.4744,0.4356,0.595,0.4838,0.48600000000000004,0.43759999999999993,0.4882000000000001,0.44980000000000003,0.47119999999999995,0.48739999999999994,0.5926,0.4364,C-3603-SNc,GSE20141,0
0.3458,0.2354,0.2274,0.1196,0.2892,0.122,0.3024,0.11939999999999999,0.24,0.1142,0.3548,0.20420000000000002,0.3848,0.1812,C-5220-SNc,GSE20141,0
0.5488,0.7055999999999999,0.481,0.748,0.4298,0.7252,0.49300000000000005,0.7338,0.5700000000000001,0.7203999999999999,0.5178,0.682,0.5008,0.6866,PD-1364-SNc,GSE20141,1
0.2842,0.6044,0.39640000000000003,0.632,0.5754,0.6476,0.43200000000000005,0.6235999999999999,0.43579999999999997,0.6284000000000001,0.4162,0.5604,0.40360000000000007,0.52,PD-1401-SNc,GSE20141,1
0.32619999999999993,0.5672,0.2728,0.6648,0.40519999999999995,0.6418,0.324,0.6032,0.378,0.5888000000000001,0.39659999999999995,0.6312,0.35259999999999997,0.5841999999999999,PD-1647-SNc,GSE20141,1
0.48760000000000003,0.7173999999999999,0.32300000000000006,0.7136,0.4436,0.7178,0.33720000000000006,0.69,0.37540000000000007,0.6289999999999999,0.3798,0.5608000000000001,0.6384000000000001,0.6008,PD-2515p-SNc,GSE20141,1
0.5048,0.6486,0.6315999999999999,0.7916000000000001,0.5698000000000001,0.7718,0.5974,0.7006,0.6368,0.7086,0.5554,0.6378,0.6922,0.7674,PD-2525-SNc,GSE20141,1
0.5428000000000001,0.7396,0.409,0.7128,0.4748,0.736,0.48640000000000005,0.7110000000000001,0.48840000000000006,0.7298,0.5716,0.7289999999999999,0.7272000000000001,0.7807999999999999,PD-3769p-SNc,GSE20141,1
0.6444,0.9256000000000002,0.6279999999999999,0.8458,0.6322,0.825,0.6914,0.8859999999999999,0.6603999999999999,0.8855999999999999,0.7108,0.8656,0.635,0.875,PD-3790p-SNc,GSE20141,1
0.4222,0.5856,0.5855999999999999,0.6822,0.5806,0.6804,0.5831999999999999,0.7462,0.5952,0.7602,0.6498,0.8018000000000001,0.5738,0.7234,PD-3803p-SNc,GSE20141,1
0.6941999999999998,0.5471999999999999,0.6083999999999999,0.5239999999999999,0.555,0.5356,0.671,0.5997999999999999,0.6764,0.5614,0.6758,0.5965999999999999,0.6891999999999999,0.5692,PD-5138-SNc,GSE20141,1
0.39139999999999997,0.65,0.48500000000000004,0.4822,0.6016,0.43800000000000006,0.4976,0.5226,0.5314,0.5146000000000001,0.512,0.7856,0.5398,0.5558,PD-5476-SNc,GSE20141,1
0.284,0.364,0.3426,0.5290000000000001,0.5302,0.6032,0.4006,0.43520000000000003,0.3418,0.46040000000000003,0.29100000000000004,0.364,0.44580000000000003,0.4946,459A,GSE24378,0
0.3128,0.123,0.355,0.30419999999999997,0.31720000000000004,0.2976,0.32180000000000003,0.27120000000000005,0.43100000000000005,0.272,0.3804,0.274,0.454,0.2638,459B,GSE24378,0
0.321,0.1226,0.271,0.3926,0.34500000000000003,0.253,0.3308,0.38160000000000005,0.3798,0.387,0.32660000000000006,0.2326,0.32880000000000004,0.43879999999999997,459C,GSE24378,0
0.3496,0.22440000000000002,0.5114,0.2996,0.5589999999999999,0.3292,0.5292,0.3198,0.5549999999999999,0.3182,0.4264,0.258,0.49779999999999996,0.3202,459D,GSE24378,0
0.517,0.901,0.5948,0.7872,0.6002,0.7851999999999999,0.6906000000000001,0.8038000000000001,0.5878,0.7928,0.6220000000000001,0.9400000000000001,0.6803999999999999,0.7706000000000002,459E,GSE24378,1
0.43179999999999996,0.7478,0.4516,0.6938000000000001,0.43099999999999994,0.6990000000000001,0.44160000000000005,0.6594,0.4596,0.5993999999999999,0.5078,0.7166,0.565,0.6718,459F,GSE24378,1
0.7512000000000001,0.8821999999999999,0.7036,0.7802,0.7388,0.8084,0.726,0.8046,0.6918,0.7776,0.6639999999999999,0.8416,0.7336,0.7230000000000001,515B,GSE24378,1
0.5631999999999999,0.5098,0.5406000000000001,0.6638,0.5347999999999999,0.689,0.5494,0.7233999999999999,0.5700000000000001,0.7078,0.5508000000000001,0.7453999999999998,0.6032,0.7198,515C,GSE24378,0
0.24299999999999997,0.4018,0.274,0.5576000000000001,0.2844,0.5514,0.3114,0.557,0.28159999999999996,0.5831999999999999,0.3504,0.44300000000000006,0.3392,0.5974,515D,GSE24378,1
0.425,0.7378,0.26980000000000004,0.671,0.27060000000000006,0.6207999999999999,0.41320000000000007,0.6586,0.4372,0.6686,0.5643999999999999,0.7792000000000001,0.3104,0.6718,515E,GSE24378,1
0.5424,0.7682,0.5356,0.5014,0.46240000000000003,0.5548,0.4386,0.5844000000000001,0.4162,0.5706,0.38980000000000004,0.7106,0.5612,0.4668,515F,GSE24378,1
0.6296,0.774,0.4864,0.7943999999999999,0.7050000000000001,0.781,0.616,0.8405999999999999,0.5636,0.8354000000000001,0.6561999999999999,0.8448,0.6302000000000001,0.7794000000000001,515G,GSE24378,1
0.4234000000000001,0.4422,0.27460000000000007,0.3224,0.363,0.40180000000000005,0.3716,0.3634,0.4316000000000001,0.35019999999999996,0.48100000000000004,0.4126,0.2834,0.2504,515H,GSE24378,0
0.4058,0.279,0.4686,0.37839999999999996,0.4548,0.36019999999999996,0.46319999999999995,0.4494000000000001,0.5172000000000001,0.48600000000000004,0.36760000000000004,0.3942,0.5916,0.47380000000000005,515I,GSE24378,0
0.559,0.6932,0.44160000000000005,0.442,0.4182,0.5218,0.43179999999999996,0.30119999999999997,0.45599999999999996,0.2812,0.5868,0.43979999999999997,0.5882,0.4338,515J,GSE24378,1
