gene,symbol,metric,panel
ENSG00000187764,SEMA4D,0.45853385,False
ENSG00000164638,SLC29A4,0.4579788,False
ENSG00000162873,KLHDC8A,0.45744288,False
ENSG00000133612,AGAP3,0.45560396,False
ENSG00000170776,AKAP13,0.45538,False
ENSG00000154556,SORBS2,0.45501775,False
ENSG00000179218,CALR,0.45374215,False
ENSG00000110318,CEP126,0.45352182,False
ENSG00000158480,SPATA2,0.45340753,False
ENSG00000104408,EIF3E,0.45336902,False
ENSG00000130707,ASS1,0.45308656,False
ENSG00000175376,EIF1AD,0.4512548,False
ENSG00000163166,IWS1,0.45106402,False
ENSG00000254999,BRK1,0.4505004,False
ENSG00000213614,HEXA,0.4491778,False
ENSG00000180104,EXOC3,0.44870844,False
ENSG00000139718,SETD1B,0.44870177,False
ENSG00000178662,CSRNP3,0.44857696,False
ENSG00000054267,ARID4B,0.4485229,False
ENSG00000185513,L3MBTL1,0.44766915,True
ENSG00000111596,CNOT2,0.4474405,False
ENSG00000154822,PLCL2,0.44707817,False
ENSG00000148248,SURF4,0.44497418,False
ENSG00000225783,MIAT,0.4447348,False
ENSG00000079102,RUNX1T1,0.44471982,False
ENSG00000134324,LPIN1,0.44375044,False
ENSG00000162630,B3GALT2,0.44369507,False
ENSG00000196233,LCOR,0.4433636,False
ENSG00000069535,MAOB,0.4421501,False
ENSG00000132561,MATN2,0.44195437,False
ENSG00000095794,CREM,0.44176504,False
ENSG00000137726,FXYD6,0.4394986,False
ENSG00000166295,ANAPC16,0.43865487,False
ENSG00000158161,EYA3,0.4385614,False
ENSG00000100784,RPS6KA5,0.43854794,False
ENSG00000137642,SORL1,0.43832862,False
ENSG00000179242,CDH4,0.43760166,False
ENSG00000130522,JUND,0.43755075,False
ENSG00000061794,MRPS35,0.43547195,False
ENSG00000119632,IFI27L2,0.434941,False
ENSG00000143776,CDC42BPA,0.4337581,False
ENSG00000172757,CFL1,0.43256125,False
ENSG00000132823,OSER1,0.4322234,False
ENSG00000140403,DNAJA4,0.4305729,False
ENSG00000136111,TBC1D4,0.42850208,False
ENSG00000157152,SYN2,0.42820612,False
ENSG00000125812,GZF1,0.42815945,False
ENSG00000100354,TNRC6B,0.4277456,False
ENSG00000115568,ZNF142,0.42728174,False
ENSG00000153187,HNRNPU,0.4265894,False
ENSG00000244405,ETV5,0.42648068,False
ENSG00000100403,ZC3H7B,0.42619452,False
ENSG00000251562,MALAT1,0.42548838,False
ENSG00000137601,NEK1,0.42541584,False
ENSG00000100604,CHGA,0.42509562,False
ENSG00000101333,PLCB4,0.42451847,False
ENSG00000166532,RIMKLB,0.4238319,False
ENSG00000177383,MAGEF1,0.42354506,False
ENSG00000170606,HSPA4,0.42351973,False
ENSG00000032219,ARID4A,0.42348963,False
ENSG00000053747,LAMA3,0.42317158,False
ENSG00000136367,ZFHX2,0.42293566,False
ENSG00000101224,CDC25B,0.42261118,False
ENSG00000135365,PHF21A,0.4221474,False
ENSG00000171735,CAMTA1,0.4220234,False
ENSG00000073614,KDM5A,0.42150202,False
ENSG00000113361,CDH6,0.4214779,False
ENSG00000106477,CEP41,0.4210534,False
ENSG00000174446,SNAPC5,0.4205313,False
ENSG00000138303,ASCC1,0.41831574,False
ENSG00000065526,SPEN,0.4166886,False
ENSG00000177551,NHLH2,0.4160046,False
ENSG00000059728,MXD1,0.41582042,False
ENSG00000106460,TMEM106B,0.41579312,False
ENSG00000177614,PGBD5,0.4151891,False
ENSG00000083845,RPS5,0.41474852,False
ENSG00000132872,SYT4,0.4143999,False
ENSG00000132676,DAP3,0.41377112,False
ENSG00000197183,NOL4L,0.4119567,False
ENSG00000104852,SNRNP70,0.41193935,False
ENSG00000183155,RABIF,0.4118888,False
ENSG00000151779,NBAS,0.41176662,False
ENSG00000112149,CD83,0.41169766,False
ENSG00000174938,SEZ6L2,0.41124108,False
ENSG00000103404,USP31,0.41106564,False
ENSG00000169116,PARM1,0.41080916,False
ENSG00000083454,P2RX5,0.4106738,False
ENSG00000150593,PDCD4,0.4106513,False
ENSG00000080822,CLDND1,0.41054848,False
ENSG00000148300,REXO4,0.40865597,False
ENSG00000150656,CNDP1,0.40773022,False
ENSG00000172046,USP19,0.40764633,False
ENSG00000168280,KIF5C,0.40577996,False
ENSG00000101407,TTI1,0.40542272,False
ENSG00000160058,BSDC1,0.40500405,False
ENSG00000185046,ANKS1B,0.40496808,False
ENSG00000134453,RBM17,0.40477335,False
ENSG00000143553,SNAPIN,0.4044736,False
ENSG00000223802,CERS1,0.40365958,False
ENSG00000162434,JAK1,0.40318075,False
ENSG00000099875,MKNK2,0.40311006,False
ENSG00000074590,NUAK1,0.40244642,False
ENSG00000184164,CRELD2,0.40243334,False
ENSG00000099889,ARVCF,0.40206328,False
ENSG00000164366,CCDC127,0.40040752,False
ENSG00000157106,SMG1,0.400072,False
ENSG00000109458,GAB1,0.3993131,False
ENSG00000117505,DR1,0.39841405,False
ENSG00000145782,ATG12,0.39815775,False
ENSG00000064115,TM7SF3,0.39719668,False
ENSG00000130159,ECSIT,0.39642304,False
ENSG00000135108,FBXO21,0.3956459,False
ENSG00000019995,ZRANB1,0.39561284,False
ENSG00000170515,PA2G4,0.39551553,False
ENSG00000147654,EBAG9,0.39539424,False
ENSG00000143970,ASXL2,0.39532438,False
ENSG00000128585,MKLN1,0.3950738,False
ENSG00000184992,BRI3BP,0.3950633,False
ENSG00000080824,HSP90AA1,0.39493823,False
ENSG00000134352,IL6ST,0.39474547,False
ENSG00000162222,TTC9C,0.39470774,False
ENSG00000170876,TMEM43,0.39466316,False
ENSG00000114166,KAT2B,0.3943114,False
ENSG00000188186,LAMTOR4,0.39424726,False
ENSG00000170242,USP47,0.39324152,False
ENSG00000139842,CUL4A,0.39300296,False
ENSG00000134294,SLC38A2,0.3922647,False
ENSG00000171475,WIPF2,0.3918156,False
ENSG00000128951,DUT,0.3915793,False
ENSG00000174606,ANGEL2,0.39111286,False
ENSG00000178449,COX14,0.3910833,False
ENSG00000176101,SSNA1,0.3905342,False
ENSG00000145012,LPP,0.3904275,False
ENSG00000096746,HNRNPH3,0.38989422,False
ENSG00000196967,ZNF585A,0.38957512,False
ENSG00000077044,DGKD,0.38947272,False
ENSG00000196470,SIAH1,0.38892934,False
ENSG00000142207,URB1,0.3881849,False
ENSG00000198825,INPP5F,0.38792098,False
ENSG00000148143,ZNF462,0.38772702,False
ENSG00000100097,LGALS1,0.3874931,False
ENSG00000196628,TCF4,0.38719004,False
ENSG00000077684,JADE1,0.38712227,False
ENSG00000130643,CALY,0.38644913,False
ENSG00000166311,SMPD1,0.38633692,False
ENSG00000075413,MARK3,0.3860138,False
ENSG00000174891,RSRC1,0.38576633,False
ENSG00000118873,RAB3GAP2,0.38540658,False
ENSG00000008277,ADAM22,0.38528484,False
ENSG00000204842,ATXN2,0.38472816,False
ENSG00000089199,CHGB,0.3846477,False
ENSG00000116539,ASH1L,0.38442162,False
ENSG00000089737,DDX24,0.38426274,False
ENSG00000159176,CSRP1,0.38416156,False
ENSG00000114388,NPRL2,0.38305882,False
ENSG00000126777,KTN1,0.38287845,False
ENSG00000100034,PPM1F,0.38281912,False
ENSG00000062194,GPBP1,0.38270506,False
ENSG00000143924,EML4,0.38209203,False
ENSG00000102524,TNFSF13B,0.3816586,False
ENSG00000125730,C3,0.38137665,False
ENSG00000112335,SNX3,0.38132107,False
ENSG00000168214,RBPJ,0.3808354,False
ENSG00000205060,SLC35B4,0.3803441,False
ENSG00000159086,PAXBP1,0.37860268,False
ENSG00000125648,SLC25A23,0.37856695,False
ENSG00000188227,ZNF793,0.37836346,False
ENSG00000005801,ZNF195,0.3780097,False
ENSG00000167491,GATAD2A,0.37776175,False
ENSG00000111711,GOLT1B,0.37769485,False
ENSG00000165775,FUNDC2,0.3770156,False
ENSG00000171105,INSR,0.37656826,False
ENSG00000175029,CTBP2,0.3764524,False
ENSG00000109107,ALDOC,0.37644386,False
ENSG00000074696,HACD3,0.3761881,False
ENSG00000114126,TFDP2,0.3758703,False
ENSG00000136960,ENPP2,0.37559962,False
ENSG00000198417,MT1F,0.3755824,False
ENSG00000110047,EHD1,0.37509707,False
ENSG00000036565,SLC18A1,0.3746248,False
ENSG00000124831,LRRFIP1,0.37431368,False
ENSG00000189058,APOD,0.37416437,False
ENSG00000078674,PCM1,0.37321028,False
ENSG00000132879,FBXO44,0.37289253,False
ENSG00000125875,TBC1D20,0.37285635,False
ENSG00000121900,TMEM54,0.37272078,False
ENSG00000076641,PAG1,0.3725486,False
ENSG00000125901,MRPS26,0.37230167,False
ENSG00000172466,ZNF24,0.37165886,False
ENSG00000066422,ZBTB11,0.3716024,False
ENSG00000112110,MRPL18,0.3710278,False
ENSG00000174943,KCTD13,0.37068698,False
ENSG00000154001,PPP2R5E,0.37048492,False
ENSG00000137992,DBT,0.37000382,False
ENSG00000147324,MFHAS1,0.36894915,False
ENSG00000101343,CRNKL1,0.36866817,False
ENSG00000166598,HSP90B1,0.3682805,False
ENSG00000075399,VPS9D1,0.3681483,False
ENSG00000147862,NFIB,0.3675492,False
ENSG00000147677,EIF3H,0.3671814,False
ENSG00000167258,CDK12,0.36693653,False
ENSG00000125633,CCDC93,0.3665582,False
ENSG00000103121,CMC2,0.36621824,False
