gene,symbol,importance,rank,direction_rho,direction,top50_fold_frequency
ENSG00000164609,SLU7,5.676664619973864e-05,4582,-0.12245730676412495,higher rank -> less PD-like,0.0
ENSG00000130703,OSBPL2,5.6754987809653674e-05,4583,0.031970046082947554,higher rank -> more PD-like,0.0
ENSG00000136450,SRSF1,5.671913681507762e-05,4584,0.06586021505375986,higher rank -> more PD-like,0.0
ENSG00000171862,PTEN,5.6692065074360944e-05,4585,0.026593701996926317,higher rank -> more PD-like,0.0
ENSG00000224051,CPTP,5.6684187175635846e-05,4586,-0.13474462365590661,higher rank -> less PD-like,0.0
ENSG00000166446,CDYL2,5.667566948253771e-05,4587,-0.02227369280225557,higher rank -> less PD-like,0.0
ENSG00000089006,SNX5,5.667460851750293e-05,4588,-0.02452956989247177,higher rank -> less PD-like,0.04
ENSG00000169764,UGP2,5.667411452470344e-05,4589,-0.22959869431642363,higher rank -> less PD-like,0.0
ENSG00000204977,TRIM13,5.666637461187582e-05,4590,-0.08894969278033311,higher rank -> less PD-like,0.0
ENSG00000112972,HMGCS1,5.665954273439604e-05,4591,-0.15932410864372035,higher rank -> less PD-like,0.0
ENSG00000144867,SRPRB,5.6644588263439834e-05,4592,-0.1665706605222643,higher rank -> less PD-like,0.0
ENSG00000118200,CAMSAP2,5.664134696032585e-05,4593,0.13445660522272693,higher rank -> more PD-like,0.0
ENSG00000055147,FAM114A2,5.663656308316473e-05,4594,0.07301354903498002,higher rank -> more PD-like,0.0
ENSG00000135698,MPHOSPH6,5.6628772921300267e-05,4595,-0.10553602074516999,higher rank -> less PD-like,0.0
ENSG00000243147,MRPL33,5.6599025988385466e-05,4596,0.13709841948974558,higher rank -> more PD-like,0.0
ENSG00000110514,MADD,5.655018614855756e-05,4597,-0.1303763440860144,higher rank -> less PD-like,0.0
ENSG00000129158,SERGEF,5.648971945510809e-05,4598,0.028129800307218143,higher rank -> more PD-like,0.0
ENSG00000099889,ARVCF,5.64880779068539e-05,4599,0.21164554531488852,higher rank -> more PD-like,0.0
ENSG00000197971,MBP,5.647660933692751e-05,4600,0.09855030721965669,higher rank -> more PD-like,0.0
ENSG00000179262,RAD23A,5.647233414035072e-05,4601,-0.19758301632345676,higher rank -> less PD-like,0.0
ENSG00000102178,UBL4A,5.644048015428155e-05,4602,0.06794916414136373,higher rank -> more PD-like,0.0
ENSG00000136560,TANK,5.643377546422964e-05,4603,-0.00542434715821781,higher rank -> less PD-like,0.0
ENSG00000102109,PCSK1N,5.643188675844682e-05,4604,-0.117607526881714,higher rank -> less PD-like,0.0
ENSG00000134030,CTIF,5.642624946615423e-05,4605,-0.09802227342549384,higher rank -> less PD-like,0.0
ENSG00000178965,ERICH3,5.641755345943127e-05,4606,0.18061372665622116,higher rank -> more PD-like,0.0
ENSG00000161057,PSMC2,5.641199616991469e-05,4607,-0.05654761904761594,higher rank -> less PD-like,0.0
ENSG00000078043,PIAS2,5.63923484275257e-05,4608,0.05880376344085704,higher rank -> more PD-like,0.0
ENSG00000159842,ABR,5.6384972960685795e-05,4609,0.054844168160726285,higher rank -> more PD-like,0.0
ENSG00000153130,SCOC,5.6384309842638736e-05,4610,-0.17045890937019034,higher rank -> less PD-like,0.0
ENSG00000185800,DMWD,5.6346842074869183e-05,4611,-0.001248079877112082,higher rank -> less PD-like,0.0
ENSG00000196405,EVL,5.6340599893279324e-05,4612,0.04795506912442134,higher rank -> more PD-like,0.0
ENSG00000175334,BANF1,5.632597201055225e-05,4613,0.03004992319508284,higher rank -> more PD-like,0.0
ENSG00000134014,ELP3,5.631980182343378e-05,4614,-0.10114247311827404,higher rank -> less PD-like,0.0
ENSG00000132434,LANCL2,5.6249503817867244e-05,4615,-0.02256144393241043,higher rank -> less PD-like,0.0
ENSG00000160710,ADAR,5.623002719633429e-05,4616,0.08153419660480839,higher rank -> more PD-like,0.0
ENSG00000138279,ANXA7,5.6224032090353835e-05,4617,-0.16803677080667165,higher rank -> less PD-like,0.0
ENSG00000260916,CCPG1,5.621626271517749e-05,4618,-0.001248079877112048,higher rank -> less PD-like,0.0
ENSG00000214517,PPME1,5.619660413749015e-05,4619,0.06845238095237718,higher rank -> more PD-like,0.0
ENSG00000221983,UBA52,5.6190493916370527e-05,4620,0.09206989247311324,higher rank -> more PD-like,0.0
ENSG00000130311,DDA1,5.6176004413570846e-05,4621,-0.10856025058685558,higher rank -> less PD-like,0.0
ENSG00000129757,CDKN1C,5.616835452118684e-05,4622,0.04526689708141072,higher rank -> more PD-like,0.0
ENSG00000071575,TRIB2,5.614411935044939e-05,4623,0.053212044119181734,higher rank -> more PD-like,0.0
ENSG00000163655,GMPS,5.6119525259037934e-05,4624,-0.004032258064515901,higher rank -> less PD-like,0.0
ENSG00000147894,C9orf72,5.610593574684049e-05,4625,-0.16637864823347778,higher rank -> less PD-like,0.0
ENSG00000160613,PCSK7,5.6104167878526486e-05,4626,0.12159178187403329,higher rank -> more PD-like,0.0
ENSG00000132432,SEC61G,5.608696617728989e-05,4627,-0.21058947772656295,higher rank -> less PD-like,0.0
ENSG00000155970,MICU3,5.607533922075483e-05,4628,-0.07421274961597132,higher rank -> less PD-like,0.0
ENSG00000042317,SPATA7,5.6066280776313964e-05,4629,-0.01737711213517573,higher rank -> less PD-like,0.0
ENSG00000170248,PDCD6IP,5.606460798718419e-05,4630,-0.17300307219661112,higher rank -> less PD-like,0.0
ENSG00000004961,HCCS,5.604703892190033e-05,4631,-0.044210829493085115,higher rank -> less PD-like,0.0
ENSG00000111897,SERINC1,5.604104842465836e-05,4632,-0.1727891319864632,higher rank -> less PD-like,0.0
ENSG00000181991,MRPS11,5.602446107110855e-05,4633,0.05133990183623347,higher rank -> more PD-like,0.0
ENSG00000164031,DNAJB14,5.6011363904110705e-05,4634,-0.08115211526411381,higher rank -> less PD-like,0.0
ENSG00000184271,POU6F1,5.6008338075647185e-05,4635,-0.04368279569892234,higher rank -> less PD-like,0.0
ENSG00000185024,BRF1,5.600777920473291e-05,4636,-0.11194316436251299,higher rank -> less PD-like,0.0
ENSG00000087152,ATXN7L3,5.600469264407064e-05,4637,-0.04089910833517617,higher rank -> less PD-like,0.0
ENSG00000106789,CORO2A,5.600390240030575e-05,4638,-0.09350998463901175,higher rank -> less PD-like,0.0
ENSG00000075945,KIFAP3,5.59817806272474e-05,4639,-0.38359254992317415,higher rank -> less PD-like,0.0
ENSG00000164896,FASTK,5.593782247634137e-05,4640,-0.060940631492378175,higher rank -> less PD-like,0.0
ENSG00000144711,IQSEC1,5.591385644520194e-05,4641,-0.07121341222445289,higher rank -> less PD-like,0.0
ENSG00000150361,KLHL1,5.591066647984721e-05,4642,-0.06485215053763085,higher rank -> less PD-like,0.0
ENSG00000224470,ATXN1L,5.590350023001591e-05,4643,0.11021637645254055,higher rank -> more PD-like,0.0
ENSG00000115808,STRN,5.58996647312202e-05,4644,-0.0010080645161289759,higher rank -> less PD-like,0.0
ENSG00000144306,SCRN3,5.5898359645857595e-05,4645,-0.22240090248459066,higher rank -> less PD-like,0.0
ENSG00000170871,KIAA0232,5.589150586560415e-05,4646,-0.21935267081876475,higher rank -> less PD-like,0.0
ENSG00000095261,PSMD5,5.5858193095288524e-05,4647,0.08030913978494184,higher rank -> more PD-like,0.0
ENSG00000047315,POLR2B,5.5856658040517416e-05,4648,-0.08141321044546408,higher rank -> less PD-like,0.0
ENSG00000100941,PNN,5.58509263787139e-05,4649,0.05239598209840939,higher rank -> more PD-like,0.0
ENSG00000135535,CD164,5.5833811718945917e-05,4650,0.05001920122887591,higher rank -> more PD-like,0.0
ENSG00000196591,HDAC2,5.582904168696639e-05,4651,0.009312596006143873,higher rank -> more PD-like,0.0
ENSG00000006740,ARHGAP44,5.582782602891721e-05,4652,0.036530776341630364,higher rank -> more PD-like,0.0
ENSG00000160714,UBE2Q1,5.5825284507906825e-05,4653,-0.022657450076803674,higher rank -> less PD-like,0.0
ENSG00000255302,EID1,5.5823211714013085e-05,4654,0.032066052227340776,higher rank -> more PD-like,0.0
ENSG00000187391,MAGI2,5.5802039529050015e-05,4655,0.08933371735790603,higher rank -> more PD-like,0.0
ENSG00000187109,NAP1L1,5.579612602368143e-05,4656,0.1310963901689636,higher rank -> more PD-like,0.0
