variant,auc,auc_sd,acc_0.5,acc_oob_cut,acc_oob_sd,bal_acc_oob_cut
PCA 15 | mtry 0.33 | leaf 1,0.7287878787878788,0.03942306615532637,0.6476190476190476,0.6285714285714284,0.060024350479965176,0.6281818181818182
PCA 20 | mtry 1.0 | leaf 1,0.727070707070707,0.035538118428564955,0.6666666666666666,0.6412698412698413,0.041391761302873954,0.6412121212121212
PCA 15 | mtry sqrt | leaf 1,0.7252525252525251,0.038290689739444134,0.6222222222222223,0.6285714285714286,0.02129588549999801,0.626969696969697
PCA 30 | mtry 1.0 | leaf 1,0.7251515151515151,0.01764210165024823,0.653968253968254,0.6539682539682539,0.030532355653446586,0.6557575757575758
PCA 40 | mtry 1.0 | leaf 3,0.7246464646464645,0.011485874531070583,0.653968253968254,0.6380952380952382,0.036196045241242474,0.6387878787878787
PCA 25 | mtry 1.0 | leaf 1,0.7244444444444444,0.04513439442200183,0.6380952380952382,0.6507936507936508,0.05832118435198042,0.6539393939393939
PCA 30 | mtry 1.0 | leaf 3,0.7242424242424242,0.015632108626810262,0.6634920634920635,0.6603174603174603,0.053357893060227354,0.6612121212121211
PCA 40 | mtry 1.0 | leaf 1,0.7231313131313131,0.023765296278682287,0.6571428571428571,0.6476190476190476,0.05875160483594203,0.6475757575757577
PCA 20 | mtry 1.0 | leaf 3,0.722020202020202,0.03843961922403987,0.6603174603174603,0.6603174603174603,0.026560635762986524,0.6612121212121213
PCA 15 | mtry sqrt | leaf 3,0.7216161616161616,0.03886329999001195,0.6317460317460317,0.6253968253968253,0.05566881878333389,0.6275757575757577
PCA 25 | mtry 1.0 | leaf 3,0.7214141414141414,0.046461352540250085,0.6476190476190476,0.6444444444444444,0.04288652725748028,0.6469696969696971
PCA 15 | mtry 0.5 | leaf 1,0.7201010101010101,0.04223049795654064,0.6444444444444445,0.6190476190476191,0.04046840883803797,0.6209090909090909
PCA 15 | mtry 0.33 | leaf 3,0.7195959595959596,0.044768105238076485,0.6380952380952382,0.6317460317460316,0.06289400874971093,0.6333333333333334
PCA 15 | mtry 0.5 | leaf 3,0.7117171717171717,0.042894222157066196,0.634920634920635,0.6412698412698413,0.038227284377118385,0.6433333333333333
PCA 15 | mtry 1.0 | leaf 1,0.71010101010101,0.04660031795718616,0.619047619047619,0.6222222222222222,0.03053235565344656,0.623030303030303
PCA 15 | mtry 1.0 | leaf 3,0.7056565656565656,0.04035729619268476,0.6158730158730158,0.638095238095238,0.026082026547865057,0.6403030303030304
meta top 2000 -> PCA 20 | mtry 0.5,0.69,0.04476383174604814,0.6507936507936508,0.6349206349206349,0.04489566864676491,0.6345454545454545
meta top 2000 -> PCA 10 | mtry 0.5,0.6785858585858586,0.04312433411707973,0.6285714285714286,0.5904761904761905,0.07221786137191953,0.5896969696969697
meta top 1000 -> PCA 20 | mtry 0.5,0.6407070707070707,0.03245239345620948,0.5936507936507935,0.5873015873015873,0.019440394783993453,0.5881818181818181
meta top 500 -> PCA 20 | mtry 0.5,0.6262626262626263,0.044310806891626364,0.5682539682539682,0.5555555555555556,0.053828015739089435,0.5551515151515152
meta top 1000 -> PCA 10 | mtry 0.5,0.6253535353535353,0.030603310207451457,0.5460317460317461,0.5587301587301587,0.023543487260621145,0.5599999999999999
meta top 500 -> PCA 10 | mtry 0.5,0.6236363636363637,0.035474899909936894,0.5777777777777777,0.5555555555555556,0.04046840883803799,0.5554545454545454
