cohort,gene,symbol,g,v,g_adj,v_adj
GSE7621,ENSG00000196367,TRRAP,-0.19569199835315151,0.1743770182755001,-0.43491325401196923,0.1773941018814167
GSE7621,ENSG00000197448,GSTK1,-0.34503125286989367,0.1759920424202505,0.20801412720842297,0.17447650865347675
GSE20292,ENSG00000003402,CFLAR,-0.4141739573279175,0.3319683730092142,0.8700190196648403,0.3491858149989172
GSE20292,ENSG00000005700,IBTK,-0.4247629680336501,0.33222965277639327,0.9007142185072193,0.3507844329060496
GSE20292,ENSG00000085719,CPNE3,-0.4385825964443493,0.3325805679202495,0.5589462078063335,0.33611192584134403
GSE20292,ENSG00000089280,FUS,-0.4169886628650322,0.33203718118654657,1.131072306841085,0.36455026996139495
GSE20292,ENSG00000100600,LGMN,-0.4291973286878698,0.3323410283040417,1.0590421318410912,0.3599104368352688
GSE20292,ENSG00000101040,ZMYND8,-0.37035305651045036,0.33095723534856614,1.1540207697198883,0.36609260448027936
GSE20292,ENSG00000104327,CALB1,-0.46987400611586233,0.333416652853176,0.4791962258708786,0.33367687171392674
GSE20292,ENSG00000114302,PRKAR2A,-0.4270775867186746,0.33228764354300183,0.6732390929466479,0.34025398504871296
GSE20292,ENSG00000119866,BCL11A,-0.4650341326870662,0.3332835694102537,0.6470898910734679,0.3392385277210026
GSE20292,ENSG00000132002,DNAJB1,-0.42185575968595956,0.332157261687201,0.741679819114763,0.3431021638078448
GSE20292,ENSG00000135298,ADGRB3,-0.4559902827060927,0.3330385809796176,0.7165414410764475,0.34202400741660377
GSE20292,ENSG00000136040,PLXNC1,-0.4357968169409976,0.3325089259129565,0.57209198500912,0.3365492310204791
GSE20292,ENSG00000136235,GPNMB,-0.3741499380218827,0.3310403762207763,1.192914508508494,0.36877734235278464
GSE20292,ENSG00000139874,SSTR1,-0.43250394841516454,0.33242483178762716,0.6248264638331797,0.3384056683909086
GSE20292,ENSG00000140600,SH3GL3,-0.43347889449168786,0.3324496637457162,0.8338501908457999,0.3473732575340645
GSE20292,ENSG00000141837,CACNA1A,-0.4245723131852304,0.3322248901325904,1.1160800853530652,0.3635593933031271
