gene,symbol,scores,log2FC,pvalue,padj,hedges_g_meta,meta_pvalue,meta_padj,I2,same_direction_datasets,is_deg,is_fdr_deg
ENSG00000107651,SEC23IP,-2.435882330342073,-0.771961433511017,0.01514047776361882,0.9457751776340557,-0.6135125509411362,0.01837154372090753,0.9994264970432628,0.0,4,False,False
ENSG00000198053,SIRPA,2.435882330342073,0.261282682434884,0.01514047776361882,0.9457751776340557,0.47530573999539133,0.07568345583142985,0.9994264970432628,0.04902530439771516,3,False,False
ENSG00000150995,ITPR1,-2.4221202832779936,-0.5325143796975975,0.015724876541023544,0.9609266947134171,-0.545623804629744,0.0359574527327664,0.9994264970432628,0.0,4,False,False
ENSG00000164902,PHAX,2.4221202832779936,0.40912003591530594,0.015724876541023544,0.9609266947134171,0.6129146011779809,0.1089607423756291,0.9994264970432628,0.47495445674806996,3,False,False
ENSG00000140937,CDH11,-2.408358236213914,-0.48149537903909384,0.016329026050529945,0.9613252214112156,-0.5944073328066501,0.022723710779454783,0.9994264970432628,0.0,4,False,False
ENSG00000149743,TRPT1,-2.408358236213914,-0.9742845882094655,0.016329026050529945,0.9613252214112156,-0.6585319126556364,0.05451633396269321,0.9994264970432628,0.3623778004316224,3,False,False
ENSG00000100591,AHSA1,2.3945961891498344,0.47547732953859256,0.01695347552481604,0.9613252214112156,0.5808040030131159,0.02496485739064035,0.9994264970432628,0.0,4,False,False
ENSG00000105939,ZC3HAV1,2.3945961891498344,0.5001223600283664,0.01695347552481604,0.9613252214112156,0.627008565211915,0.13313279227282737,0.9994264970432628,0.555481729164335,3,False,False
ENSG00000141027,NCOR1,2.3945961891498344,0.262471419876714,0.01695347552481604,0.9613252214112156,0.5114287011066304,0.09778099470154195,0.9994264970432628,0.24608833493831453,3,False,False
ENSG00000145050,MANF,2.3945961891498344,0.5467927527531135,0.01695347552481604,0.9613252214112156,0.5501630036073192,0.033216287658834505,0.9994264970432628,0.0,4,False,False
