stage,dataset,person,y,PC1,PC2,var_PC1,var_PC2
before,GSE20141,C-1074p-SNc,0,213.27156581896475,40.779461397660526,0.6896111131231061,0.09519091201318086
before,GSE20141,C-1271p-SNc,0,208.7412681503919,40.64329012053166,0.6896111131231061,0.09519091201318086
before,GSE20141,C-2829-SNc,0,77.7349411818906,45.33234858860936,0.6896111131231061,0.09519091201318086
before,GSE20141,C-3132p-SNc,0,210.14810555906024,40.079041834131395,0.6896111131231061,0.09519091201318086
before,GSE20141,C-3397-SNc,0,132.87996071475132,60.99506624932598,0.6896111131231061,0.09519091201318086
before,GSE20141,C-3543-SNc,0,203.79114268336565,56.646603039558045,0.6896111131231061,0.09519091201318086
before,GSE20141,C-3603-SNc,0,159.89556416554507,69.62446434522796,0.6896111131231061,0.09519091201318086
before,GSE20141,C-5220-SNc,0,216.1266933405308,52.81955241125475,0.6896111131231061,0.09519091201318086
before,GSE20141,PD-1364-SNc,1,116.30915514668757,59.316033519488336,0.6896111131231061,0.09519091201318086
before,GSE20141,PD-1401-SNc,1,77.4932204811503,49.027506331437465,0.6896111131231061,0.09519091201318086
before,GSE20141,PD-1647-SNc,1,190.63704161704513,53.58532517461082,0.6896111131231061,0.09519091201318086
before,GSE20141,PD-2515p-SNc,1,191.1347703902464,40.552969358618945,0.6896111131231061,0.09519091201318086
before,GSE20141,PD-2525-SNc,1,125.41259028883836,59.31978882332481,0.6896111131231061,0.09519091201318086
before,GSE20141,PD-3769p-SNc,1,113.94502222702333,48.12437344134474,0.6896111131231061,0.09519091201318086
before,GSE20141,PD-3790p-SNc,1,131.80902856456768,48.222715514265275,0.6896111131231061,0.09519091201318086
before,GSE20141,PD-3803p-SNc,1,199.49667261670584,42.81149676524929,0.6896111131231061,0.09519091201318086
before,GSE20141,PD-5138-SNc,1,195.287204498008,60.31258589185267,0.6896111131231061,0.09519091201318086
before,GSE20141,PD-5476-SNc,1,206.5815997552278,58.23557760108784,0.6896111131231061,0.09519091201318086
before,GSE24378,459A,0,36.16517853596049,-93.63410388176995,0.6896111131231061,0.09519091201318086
before,GSE24378,459B,0,89.33652555223023,-67.30081354640723,0.6896111131231061,0.09519091201318086
before,GSE24378,459C,0,89.03263450782603,-62.91844372522449,0.6896111131231061,0.09519091201318086
before,GSE24378,459D,0,-3.03086599434846,-93.27741828567923,0.6896111131231061,0.09519091201318086
before,GSE24378,459E,1,85.24331513575743,-70.506914450922,0.6896111131231061,0.09519091201318086
before,GSE24378,459F,1,51.40656177014445,-88.27581508223426,0.6896111131231061,0.09519091201318086
before,GSE24378,515B,1,82.37379344846849,-81.68195544957494,0.6896111131231061,0.09519091201318086
before,GSE24378,515C,0,87.58586780649735,-76.36573232661299,0.6896111131231061,0.09519091201318086
before,GSE24378,515D,1,88.91633215430932,-70.48427802850443,0.6896111131231061,0.09519091201318086
before,GSE24378,515E,1,44.34748798999874,-97.67098016953662,0.6896111131231061,0.09519091201318086
before,GSE24378,515F,1,40.84210006419151,-93.79615233494503,0.6896111131231061,0.09519091201318086
before,GSE24378,515G,1,80.55185064254803,-74.89162252550751,0.6896111131231061,0.09519091201318086
before,GSE24378,515H,0,31.725890418727253,-87.81621862685282,0.6896111131231061,0.09519091201318086
before,GSE24378,515I,0,90.63329358890536,-70.75399746195876,0.6896111131231061,0.09519091201318086
before,GSE24378,515J,1,77.44775163875758,-82.47734670175704,0.6896111131231061,0.09519091201318086
before,GSE24378,515K,0,60.59857681493076,-96.55414268630106,0.6896111131231061,0.09519091201318086
before,GSE24378,515L,0,90.95817038881225,-70.03494683474815,0.6896111131231061,0.09519091201318086
before,GSE169755,Brain2,1,-100.91801188937589,21.499114779972977,0.6896111131231061,0.09519091201318086
before,GSE169755,Brain3,0,-114.7462856156102,18.71757186374427,0.6896111131231061,0.09519091201318086
before,GSE169755,Brain4,1,-110.57366857407305,19.374042675123746,0.6896111131231061,0.09519091201318086
before,GSE169755,Brain7,0,-121.0879782356026,19.276296996261163,0.6896111131231061,0.09519091201318086
before,GSE169755,Brain11,0,-104.7550186019822,19.651594223047397,0.6896111131231061,0.09519091201318086
before,GSE169755,Brain12,1,-114.09980131342591,20.722268111013427,0.6896111131231061,0.09519091201318086
after,GSE182622,C-04-52,0,-61.035186767578125,-26.918170928955078,0.24878248572349548,0.08441411703824997
after,GSE182622,C-06-57,0,-41.87140655517578,-1.377170205116272,0.24878248572349548,0.08441411703824997
after,GSE182622,C-07-28,0,63.342159271240234,-13.059188842773438,0.24878248572349548,0.08441411703824997
after,GSE182622,C-09-50,0,-61.59740447998047,-22.256601333618164,0.24878248572349548,0.08441411703824997
after,GSE182622,C-10-39,0,37.4742546081543,-23.87002182006836,0.24878248572349548,0.08441411703824997
after,GSE182622,C-12-44,0,-19.45043182373047,-31.666528701782227,0.24878248572349548,0.08441411703824997
after,GSE182622,C-14-42,0,40.317657470703125,32.86384963989258,0.24878248572349548,0.08441411703824997
after,GSE182622,C-15-46,0,-35.34181594848633,16.976686477661133,0.24878248572349548,0.08441411703824997
