,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000263424,7.460196,1.1427495,0.8677032,2.3177145,20.646978,2.3250072,1.5626125,2.5114782,1.6091753,4.7485266,1.2567804,0.7543731
ENSG00000263508,0.27569205,29.681335,2.1486056,1.5477887,2.120991,0.06362467,1.5950539,0.2982379,10.005378,0.7169276,0.0,0.37718654
ENSG00000263551,0.71223545,0.95294535,0.58831525,45.166084,1.0086503,24.32564,7.779234,8.996326,1.8211626,0.026906991,1.2567804,19.776815
ENSG00000263635,2.5822442,0.26370832,0.14242221,4.2150593,0.39427203,0.4998988,6.10139,0.086097285,0.6685456,0.12644286,0.0,12.739736
ENSG00000263724,0.14126717,0.5657969,0.4992402,1.268836,0.9056296,0.7786913,1.946318,0.0,0.42159945,6.634374,2.0515513,0.37718654
ENSG00000263787,0.7948107,0.6726364,0.42883965,0.15642032,0.34503,0.0,0.112406135,0.0,0.0,0.25571656,6.4413066,0.0
ENSG00000263878,0.15738875,1.1521776,0.19632177,4.3680778,2.657044,1.303561,3.6908453,1.0311825,3.6700592,12.728318,0.0,3.7718656
ENSG00000264015,0.9480969,1.236561,1.7438604,9.783273,102.61938,0.5592339,8.161712,7.139876,3.5951595,7.776667,0.0,3.0174923
ENSG00000264016,0.22580238,7.1678343,1.2479243,0.2428462,0.9443214,0.12724935,0.8574752,0.07886625,1.5242817,0.0,0.0,0.0
ENSG00000264964,0.6872764,0.762236,0.59183335,2.1577637,1.0838077,0.7819615,2.2730734,0.40654123,1.2937251,0.23407082,0.0,6.0241776
ENSG00000265485,0.0,0.0,0.0,0.073034555,0.0,0.0,0.0,0.0,0.0,0.13032983,10.464191,0.0
ENSG00000265763,59.59995,1.993279,4.2817454,1.7245613,11.002781,2.5237098,0.38727036,2.3892376,0.0,8.129722,0.0,0.8838403
ENSG00000265818,1.451506,0.6470686,1.196527,1.6375039,0.89456534,0.82948244,0.9817999,1.116495,0.0,0.78712153,17.597782,2.0691226
ENSG00000266076,1.3150462,11.263993,2.27765,63.33981,11.934283,17.398848,47.19086,14.466296,12.094061,154.60544,58.102806,31.294954
ENSG00000266248,6.6579013,0.31008098,0.53309697,7.5767117,22.738024,0.0,5.979982,0.11829939,0.0,6.8089705,0.0,4.1602674
ENSG00000266268,1.066104,1.1631317,0.8313589,1.1679862,3.2102644,0.8588674,2.1207004,2.1445205,1.9613254,18.378315,2.0515513,1.9396553
ENSG00000266554,0.04239427,0.03445344,0.17891471,5.170241,0.05238117,0.0,7.2040515,0.0,0.0,0.13032983,0.0,29.003622
ENSG00000266573,1.3039591,1.1397433,0.8446359,2.3492653,1.0574492,0.16490906,3.2768824,1.7496029,0.4738585,4.7114043,131.90308,0.7543731
ENSG00000266824,0.44590852,0.26774466,0.6393308,0.71342903,0.28810042,0.089550525,0.7473291,0.27466476,0.45824283,0.5301637,1.2567804,6.810251
ENSG00000266903,1.880354,7.646922,3.6063032,7.364441,6.098106,30.458776,8.083158,6.743332,3.0851722,4.880698,7.6980867,7.1020145
