cohort,method,cell_type,n,median_control,median_PD,auc,p
GSE20292,nnls,Inhibitory,29,0.15288887898573716,0.14397077737620642,0.3383838383838384,0.156828296926177
GSE20292,nnls,Pericytes,29,0.09278753958916075,0.09729741455375848,0.7828282828282828,0.01260115373527781
GSE20292,nnls,Ependymal,29,0.1468359064771398,0.15004306092793704,0.5909090909090909,0.4313086401061951
GSE20292,nnls,CADPS2+ neurons,29,0.016201634819620184,0.01719079417530732,0.5909090909090909,0.4313086401061951
GSE20292,nnls,DaNs,29,0.0,0.0,0.4722222222222222,0.4772893402694307
GSE20292,nusvr,Oligodendrocytes,29,0.18872232601023142,0.23211974953735995,0.6313131313131313,0.25173732588657827
GSE20292,nusvr,Astrocytes,29,0.33584184518330423,0.27772870151903006,0.30808080808080807,0.09189221109865607
GSE20292,nusvr,Microglia,29,0.03811068242891213,0.05200123378900538,0.5227272727272727,0.8558371128903662
GSE20292,nusvr,Excitatory,29,0.0,0.0,0.44191919191919193,0.5102418044515972
GSE20292,nusvr,OPCs,29,0.1589130503918526,0.17664490553008586,0.6363636363636364,0.233619658990177
GSE20292,nusvr,Endothelial cells,29,0.03587109662221139,0.08374649284130391,0.7424242424242424,0.03274229231667624
GSE20292,nusvr,Inhibitory,29,0.0,0.0,0.3888888888888889,0.10707713944315175
GSE20292,nusvr,Pericytes,29,0.06036762902062826,0.07127003007163953,0.6464646464646465,0.20020078287121656
GSE20292,nusvr,GABA,29,0.002523975964573449,0.0,0.43939393939393945,0.5777297766354015
GSE20292,nusvr,CADPS2+ neurons,29,0.015075058809051408,0.003991696744693766,0.41161616161616155,0.4353263817549905
GSE20292,nusvr,DaNs,29,0.06861900427930484,0.0634431391890941,0.4191919191919192,0.4857923841571563
GSE20292,music,Oligodendrocytes,29,0.060493250921213215,0.06339206184999603,0.6111111111111112,0.33386750568353574
GSE20292,music,Astrocytes,29,0.13865240751979357,0.138374917453277,0.43434343434343436,0.5742296569742573
GSE20292,music,Microglia,29,0.1299508228581278,0.1320289228904024,0.6616161616161615,0.156828296926177
GSE20292,music,OPCs,29,0.08015571833791091,0.08231890181561703,0.7575757575757576,0.023219344015853127
GSE20292,music,Endothelial cells,29,0.05848455032403875,0.06016450671394954,0.7777777777777777,0.014301783737846662
GSE20292,music,Inhibitory,29,0.25886603170441363,0.25338573870896297,0.3383838383838384,0.156828296926177
GSE20292,music,Pericytes,29,0.08961317379109554,0.09036615737881297,0.7222222222222222,0.05056187540177508
GSE20292,music,Ependymal,29,0.0794069736775036,0.08024102446498074,0.6616161616161617,0.156828296926177
GSE20292,music,CADPS2+ neurons,29,0.03784302787537817,0.0381273822012793,0.6262626262626263,0.27081262034153497
GSE20292,music,DaNs,29,0.06075953554169723,0.057555613161219814,0.22222222222222224,0.014301783737846662
GSE20163,nnls,Oligodendrocytes,17,0.1474342458152842,0.16295693898049457,0.611111111111111,0.4807075277663513
GSE20163,nnls,Astrocytes,17,0.3490255993816932,0.3103450146764959,0.16666666666666669,0.02064993829699712
GSE20163,nnls,Microglia,17,0.12473026045861678,0.13735360321477086,0.5416666666666667,0.8148087206910737
GSE20163,nnls,Excitatory,17,0.0,0.0,0.5625,0.3457785861511603
GSE20163,nnls,OPCs,17,0.20342277508720127,0.2143845295734953,0.5555555555555556,0.7429864253393665
GSE20163,nnls,Endothelial cells,17,0.048274534562888494,0.051842177152063934,0.7777777777777778,0.059234882764294526
GSE20163,nnls,Pericytes,17,0.04108314122905761,0.04588534533028402,0.5416666666666667,0.8148087206910737
GSE20163,nnls,Ependymal,17,0.0,0.0009177435035999493,0.7222222222222223,0.1063205573766899
GSE20163,nnls,CADPS2+ neurons,17,0.04896872553785221,0.05300500977722104,0.5972222222222222,0.5414232825997531
GSE20163,nnls,DaNs,17,0.019421059171829336,0.0,0.20833333333333334,0.03268695329786108
GSE20163,nusvr,Oligodendrocytes,17,0.19887297254483183,0.21516992818047362,0.5555555555555556,0.7429864253393665
GSE20163,nusvr,Astrocytes,17,0.40170458664004133,0.39201518477215963,0.4444444444444445,0.7429864253393665
GSE20163,nusvr,Microglia,17,0.012037955241395629,0.011821274380501422,0.5555555555555556,0.7361212634199744
GSE20163,nusvr,OPCs,17,0.21393265681295814,0.2250986472138939,0.5694444444444444,0.6729740847387906
GSE20163,nusvr,Endothelial cells,17,0.024074541469334406,0.044726654212391206,0.8888888888888888,0.005512134923899629
GSE20163,nusvr,Inhibitory,17,0.0,0.0,0.4027777777777778,0.4642587371038196
GSE20163,nusvr,Pericytes,17,0.0,0.0,0.5000000000000001,1.0
GSE20163,nusvr,GABA,17,0.0,0.0,0.4583333333333334,0.7653263280874609
GSE20163,nusvr,CADPS2+ neurons,17,0.051554068174684886,0.04617628648937791,0.3888888888888889,0.4807075277663513
GSE20163,nusvr,DaNs,17,0.041218024270903486,0.008602397032831915,0.013888888888888895,0.00089438748952918
GSE20163,music,Oligodendrocytes,17,0.16036025924474842,0.18343884881613293,0.7222222222222223,0.13879062114356233
GSE20163,music,Astrocytes,17,0.16155079456915192,0.1431560550162892,0.25,0.09271904566022213
GSE20163,music,Microglia,17,0.08291284311161673,0.09360337667447888,0.6527777777777778,0.3212669683257919
GSE20163,music,Excitatory,17,0.0,0.0,0.625,0.14421682435678668
GSE20163,music,OPCs,17,0.05335738779785712,0.06207608248287451,0.7222222222222222,0.13879062114356233
GSE20163,music,Endothelial cells,17,0.03626142115691121,0.04566949798663393,0.7777777777777779,0.059234882764294526
GSE20163,music,Inhibitory,17,0.37625349535490693,0.33441312147372776,0.33333333333333337,0.2765939942410531
GSE20163,music,Pericytes,17,0.033363671642473836,0.042650903602718664,0.9027777777777778,0.0037021801727684074
GSE20163,music,Ependymal,17,0.013850684246163378,0.02022900012078424,0.9305555555555556,0.0015631427396133276
GSE20163,music,CADPS2+ neurons,17,0.0,0.013903688428836446,0.8402777777777778,0.01824632801193968
GSE20163,music,DaNs,17,0.07657057156476063,0.0,0.09722222222222222,0.005059984068421069
GSE20164,nnls,Oligodendrocytes,11,0.5735148307463832,0.4750058573438428,0.3,0.32900432900432897
GSE20164,nnls,Astrocytes,11,0.15443989571937589,0.1919801903935069,0.6333333333333333,0.5367965367965368
GSE20164,nnls,Microglia,11,0.1542403312763946,0.1737900529956531,0.6,0.6623376623376623
GSE20164,nnls,OPCs,11,0.08205984805931946,0.07066770975052877,0.43333333333333335,0.7922077922077921
GSE20164,nnls,Endothelial cells,11,0.030635056759021888,0.04800038876693742,0.8666666666666667,0.05194805194805195
GSE20164,nusvr,Oligodendrocytes,11,0.45680997422258035,0.39900846915162813,0.36666666666666664,0.5367965367965368
GSE20164,nusvr,Astrocytes,11,0.2664570772433935,0.31291809217308947,0.6,0.6623376623376623
GSE20164,nusvr,Microglia,11,0.0,0.017778640662349868,0.6833333333333333,0.3501217384052011
GSE20164,nusvr,OPCs,11,0.08300786952708025,0.1017354925204293,0.5,1.0
GSE20164,nusvr,Endothelial cells,11,0.02778727173128276,0.036344994152907865,0.6666666666666667,0.42857142857142855
GSE20164,nusvr,Inhibitory,11,0.14742145703213724,0.061011446769331304,0.3333333333333333,0.4003939489033802
GSE20164,nusvr,Pericytes,11,0.0,0.01288330713291015,0.7,0.2735018137193267
GSE20164,nusvr,GABA,11,0.0,0.0,0.5000000000000001,1.0
GSE20164,nusvr,CADPS2+ neurons,11,0.012941285954305782,0.012496410614130267,0.6666666666666667,0.42857142857142855
GSE20164,nusvr,DaNs,11,0.013184261416952621,0.0,0.30000000000000004,0.24481672114837716
GSE20164,music,Oligodendrocytes,11,0.2265981748602106,0.1972508264396027,0.39999999999999997,0.6623376623376623
GSE20164,music,Astrocytes,11,0.15050357189462973,0.17482893851385956,0.7333333333333334,0.24675324675324672
GSE20164,music,Microglia,11,0.0830038900408112,0.12305700268029522,0.6,0.6623376623376623
GSE20164,music,OPCs,11,0.0022056437473877318,0.014486197831247424,0.7666666666666666,0.16699411792618535
GSE20164,music,Endothelial cells,11,0.03539905252650087,0.04340521468028556,0.7,0.32900432900432897
GSE20164,music,Inhibitory,11,0.39502890002340296,0.2819794023386293,0.19999999999999998,0.12554112554112554
GSE20164,music,Pericytes,11,0.028865749874419235,0.04033618488304359,0.9,0.030303030303030304
GSE20164,music,Ependymal,11,0.0023787880201650534,0.008049510380531743,0.8333333333333333,0.08213856110808998
GSE20164,music,CADPS2+ neurons,11,0.0037825784037068353,0.01610293809523732,1.0,0.004329004329004329
GSE20164,music,DaNs,11,0.011855799439627356,0.0,0.09999999999999999,0.02765949214637323
GSE8397,nnls,Oligodendrocytes,23,0.41807794911368024,0.4743945238627462,0.6916666666666667,0.1492757702207157
GSE8397,nnls,Astrocytes,23,0.2790538148851529,0.25126033501472544,0.36666666666666664,0.32460423320566006
GSE8397,nnls,Microglia,23,0.16982620753029382,0.16711086438918565,0.525,0.8746354376991071
GSE8397,nnls,OPCs,23,0.07628348134911686,0.0687544623488659,0.41666666666666663,0.5478570874990312
GSE8397,nnls,Endothelial cells,23,0.019941439587752186,0.024152910231668944,0.5666666666666667,0.6355233585008789
GSE8397,nnls,Inhibitory,23,0.0,0.0,0.3125,0.015301127581533845
GSE8397,nusvr,Oligodendrocytes,23,0.22619245135912924,0.2490257577521938,0.625,0.3572241461593999
GSE8397,nusvr,Astrocytes,23,0.459842214554389,0.4567152659261383,0.43333333333333335,0.6355233585008789
GSE8397,nusvr,Microglia,23,0.015628182019630742,0.011841528600502367,0.5,1.0
GSE8397,nusvr,OPCs,23,0.14244254275550466,0.11938015114071503,0.44999999999999996,0.7283618252793107
GSE8397,nusvr,Endothelial cells,23,0.03223848865319922,0.043044542028540286,0.6083333333333334,0.4281419661686185
GSE8397,nusvr,Inhibitory,23,0.08406134458750149,0.08597228545888627,0.5833333333333333,0.5478570874990312
GSE8397,nusvr,Pericytes,23,0.015596057403117357,0.013935297237304472,0.4166666666666667,0.5387245387373518
GSE8397,nusvr,CADPS2+ neurons,23,0.011094888263290784,0.005239277163474937,0.175,0.010519789359471683
GSE8397,nusvr,DaNs,23,0.016463562997491486,0.006610327442479303,0.2,0.020800350570535173
GSE8397,music,Oligodendrocytes,23,0.11193477164317625,0.20191752509428684,0.9083333333333333,0.0007668555252348495
GSE8397,music,Astrocytes,23,0.15718053443945315,0.21805415689961802,0.75,0.05558070950452159
GSE8397,music,Microglia,23,0.09708286602339702,0.1541367059877417,0.6916666666666667,0.1492757702207157
GSE8397,music,OPCs,23,0.0,0.003729193289667632,0.8166666666666667,0.011544999172268557
GSE8397,music,Endothelial cells,23,0.012258959041080987,0.024807806925343564,0.7166666666666667,0.10055597025579527
