,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000139636,18.088951,24.858177,55.881588,25.004036,19.379446,25.26818,26.645607,44.03944,22.720093,31.441458,45.14732,30.906961
ENSG00000139637,8.747209,6.7594075,5.1382046,13.357815,7.082759,13.651346,18.266603,14.531905,8.830839,10.4700575,9.694721,15.411743
ENSG00000139641,6.906776,14.736725,29.15182,16.151655,7.0401287,32.313423,21.367332,37.235306,31.859531,3.0934763,2.5135608,15.960903
ENSG00000139644,207.82916,166.68251,151.34062,74.49545,144.13548,279.8803,92.73493,306.34268,160.97581,131.9117,82.511955,75.8576
ENSG00000139645,17.589602,30.832817,23.835634,30.266058,24.065882,19.41114,33.722427,22.443178,30.89173,29.543793,31.450523,36.13426
ENSG00000139651,9.652734,7.7854404,11.702246,7.948356,9.468143,11.930582,10.1565,17.345602,13.4858885,6.946279,7.411435,8.222767
ENSG00000139656,0.034663998,0.32514316,0.0,0.20570089,0.06338806,0.0,0.15967749,0.0,0.0,0.20959528,0.0,0.0
ENSG00000139668,314.12213,332.70486,348.3223,97.884186,170.95633,81.655205,94.260185,104.53206,217.35657,77.69826,74.59386,99.46
ENSG00000139675,2.509532,2.6759953,2.650068,3.0678504,2.631478,0.5793528,3.6036634,1.7954686,1.3429658,2.4748971,4.1031027,3.524146
ENSG00000139679,2.8701136,9.239834,282.06857,1.7902504,4.6279573,96.109406,2.1318395,43.67522,6.688188,2.3970866,9.232712,2.8234956
ENSG00000139684,40.392,51.887672,35.215435,24.675346,35.016624,65.012886,26.044928,91.40348,57.75824,18.970888,14.130586,21.219492
ENSG00000139687,113.09892,150.08286,585.1113,93.21745,120.15443,357.191,104.155914,336.60825,130.21817,135.19672,217.63763,138.42857
ENSG00000139697,67.906815,68.57333,89.38461,64.01553,50.32097,74.28975,72.46386,84.88393,59.328728,53.485863,88.57439,54.12137
ENSG00000139714,0.41687268,2.20512,2.6796708,6.642837,1.0165588,0.97169596,5.5523014,2.1462908,59.7422,3.7195315,0.0,3.9013326
ENSG00000139718,8.56583,15.203315,28.502754,14.488858,13.058051,12.075916,15.84498,26.328035,15.575366,22.031876,21.773754,13.25566
ENSG00000139719,0.08133448,0.048050348,0.1472382,0.053388324,0.06338806,0.36684254,0.24203509,0.30601934,0.0,0.0,0.0,0.0
ENSG00000139722,44.93189,38.413475,58.008938,26.67776,12.357931,71.50208,28.313696,42.188297,78.97856,31.263,25.980804,13.784336
ENSG00000139725,2.2208617,1.207575,3.5115266,11.35471,0.8960436,0.9322061,12.438532,0.7873712,3.9594712,9.957553,20.516975,5.4417787
ENSG00000139726,33.04077,42.43841,65.23013,45.272926,45.12223,55.82336,45.85975,51.68426,49.674404,41.694084,9.592234,51.75854
ENSG00000139734,4.3264713,29.273212,9.238956,12.656063,17.440588,4.664158,12.9938755,3.5201826,83.37058,2.4737828,5.9243793,5.01087
