cohort,method,donor,marker_z,da_z,y
GSE20163,nnls,GSM506001,1.121073802110079,1.2089932623861128,0
GSE20163,nnls,GSM506002,-1.4318060469776879,-0.9240522978256357,1
GSE20163,nnls,GSM506003,0.6519510165017744,0.8054685377711072,0
GSE20163,nnls,GSM506004,1.1382892688038484,1.3728397173648506,1
GSE20163,nnls,GSM506005,-1.056949364376077,-0.9240522978256357,1
GSE20163,nnls,GSM506006,-1.8391677480518365,-0.9240522978256357,1
GSE20163,nnls,GSM506007,1.2561872980274928,1.427584645986981,0
GSE20163,nnls,GSM506008,0.1250580513156997,-0.9240522978256357,0
GSE20163,nnls,GSM506009,-0.627548321312926,-0.9240522978256357,1
GSE20163,nnls,GSM506010,-1.2062578736530618,-0.9240522978256357,1
GSE20163,nnls,GSM506011,-1.109180256947925,-0.9240522978256357,1
GSE20163,nnls,GSM506012,-0.46104768130025137,-0.9240522978256357,1
GSE20163,nusvr,GSM505996,0.9415880743579088,0.22789843214219369,0
GSE20163,nusvr,GSM505997,0.3244202095032193,0.30060644559185323,0
GSE20163,nusvr,GSM505998,0.7541628322429869,1.615660461093141,0
GSE20163,nusvr,GSM505999,0.8086971656853692,1.8048636243214753,0
GSE20163,nusvr,GSM506000,0.6105295740713874,0.8121459801137043,0
GSE20163,nusvr,GSM506001,1.121073802110079,0.7812228965291157,0
GSE20163,nusvr,GSM506002,-1.4318060469776879,-0.9820846149482956,1
GSE20163,nusvr,GSM506003,0.6519510165017744,0.2603002000289169,0
GSE20163,nusvr,GSM506004,1.1382892688038484,-0.8609092454746067,1
GSE20163,nusvr,GSM506005,-1.056949364376077,0.2546141257478838,1
GSE20163,nusvr,GSM506006,-1.8391677480518365,-1.4240281565884543,1
GSE20163,nusvr,GSM506007,1.2561872980274928,0.684204368506939,0
GSE20163,nusvr,GSM506008,0.1250580513156997,0.7434173495388535,0
GSE20163,nusvr,GSM506009,-0.627548321312926,-0.5985984898742815,1
GSE20163,nusvr,GSM506010,-1.2062578736530618,-1.4240281565884543,1
GSE20163,nusvr,GSM506011,-1.109180256947925,-1.2340258229275292,1
GSE20163,nusvr,GSM506012,-0.46104768130025137,-0.9612593972124573,1
GSE20163,music,GSM505996,0.9415880743579088,0.5343737740575073,0
GSE20163,music,GSM505997,0.3244202095032193,-0.17761135661820848,0
GSE20163,music,GSM505998,0.7541628322429869,0.47688795068675605,0
GSE20163,music,GSM505999,0.8086971656853692,0.5523583707720668,0
GSE20163,music,GSM506000,0.6105295740713874,0.29181889509158954,0
GSE20163,music,GSM506001,1.121073802110079,1.2007319254401139,0
GSE20163,music,GSM506002,-1.4318060469776879,-0.9683520779969084,1
GSE20163,music,GSM506003,0.6519510165017744,0.6349540931996358,0
GSE20163,music,GSM506004,1.1382892688038484,1.0771415236805548,1
GSE20163,music,GSM506005,-1.056949364376077,-0.9683520779969084,1
GSE20163,music,GSM506006,-1.8391677480518365,-0.9683520779969084,1
GSE20163,music,GSM506007,1.2561872980274928,2.54713847036832,0
GSE20163,music,GSM506008,0.1250580513156997,-0.48419722544745614,0
GSE20163,music,GSM506009,-0.627548321312926,-0.9683520779969084,1
GSE20163,music,GSM506010,-1.2062578736530618,-0.9683520779969084,1
GSE20163,music,GSM506011,-1.109180256947925,-0.9683520779969084,1
GSE20163,music,GSM506012,-0.46104768130025137,-0.8434839532494298,1
GSE20164,nnls,GSM506013,1.6861834753423213,0.0,0
GSE20164,nnls,GSM506014,0.7041906273543282,0.0,0
GSE20164,nnls,GSM506015,-0.7583268539100385,0.0,1
GSE20164,nnls,GSM506016,0.063960148841559,0.0,1
GSE20164,nnls,GSM506017,-0.893927377208608,0.0,1
GSE20164,nnls,GSM506018,-0.9427185022225545,0.0,1
GSE20164,nnls,GSM506019,0.649879944470139,0.0,0
GSE20164,nnls,GSM506020,0.19899238309389367,0.0,0
GSE20164,nnls,GSM506021,-1.6603057530350627,0.0,1
GSE20164,nnls,GSM506022,-0.4519048949752961,0.0,1
GSE20164,nnls,GSM506023,1.4039768022493184,0.0,0
GSE20164,nusvr,GSM506013,1.6861834753423213,0.8005327615283656,0
GSE20164,nusvr,GSM506014,0.7041906273543282,-0.7204304909260248,0
GSE20164,nusvr,GSM506015,-0.7583268539100385,-0.7204304909260248,1
GSE20164,nusvr,GSM506016,0.063960148841559,-0.7204304909260248,1
GSE20164,nusvr,GSM506017,-0.893927377208608,-0.7204304909260248,1
GSE20164,nusvr,GSM506018,-0.9427185022225545,1.6670988207611344,1
GSE20164,nusvr,GSM506019,0.649879944470139,1.8491587918458536,0
GSE20164,nusvr,GSM506020,0.19899238309389367,-0.7204304909260248,0
GSE20164,nusvr,GSM506021,-1.6603057530350627,-0.7204304909260248,1
GSE20164,nusvr,GSM506022,-0.4519048949752961,-0.7204304909260248,1
GSE20164,nusvr,GSM506023,1.4039768022493184,0.7262230623468213,0
GSE20164,music,GSM506013,1.6861834753423213,2.5192226992182962,0
GSE20164,music,GSM506014,0.7041906273543282,-0.5155892057332924,0
GSE20164,music,GSM506015,-0.7583268539100385,-0.6225599397808397,1
