library,term,size,anchors,direction,neighbours,shift,p,fwer,fdr,neighbour_median_percentile,top_neighbours
GO:BP,Negative Regulation Of Cell Population Proliferation (GO:0008285),123,GPNMB,up,122,-0.015192922428498411,0.5668866226754649,1.0,0.7378152777777778,0.4434364994663821,"WNT5A, CD200, EIF2AK2, TRIM32, KAT2B, CTBP2"
GO:BP,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),21,CNTN4,down,20,-0.02495065345428884,0.5674865026994601,1.0,0.7378152777777778,0.5252579153326218,"EMB, CADM2, ROBO2, CNTN6, CADM3, ROBO1"
Reactome,Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,22,GPNMB,up,21,-0.019675953313708305,0.5676864627074585,1.0,0.7378152777777778,0.552472429740306,"UBA52, UBC, KHDRBS3, ELMO2, UBB, NR3C1"
KEGG,Morphine addiction,40,CACNA1A,up,39,-0.017705375304779947,0.5684863027394521,1.0,0.7378152777777778,0.4743863393810032,"PRKCB, PDE2A, GNAO1, GNAI2, GNAI3, GNB5"
GO:MF,Endopeptidase Activity (GO:0004175),63,LGMN,down,62,-0.023367096955377246,0.5686862627474505,1.0,0.7378152777777778,0.45579864816791177,"CTSF, USP24, MMP16, USP20, USP35, USP8"
GO:BP,Regulation Of Transcription Elongation By RNA Polymerase II (GO:0034243),40,ZMYND8,up,39,-0.01879055554477068,0.5700859828034394,1.0,0.7378152777777778,0.46602632515119174,"CDK13, HNRNPU, CDK12, MED14, HEXIM1, CDK9"
Reactome,Death Receptor Signaling R-HSA-73887,67,CFLAR,up,66,-0.016601635222534904,0.5724855028994201,1.0,0.7378152777777778,0.5281928139452152,"MCF2L, TRIO, AKAP13, RELA, ARHGEF10L, UBA52"
GO:BP,Transcription By RNA Polymerase II (GO:0006366),92,ICE1,up,91,-0.018233593263385747,0.5726854629074185,1.0,0.7378152777777778,0.47225186766275346,"ANXA2, NFIC, SNAPC5, CDK12, RXRA, TAF3"
GO:BP,Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),31,ICE1,up,30,-0.017950087576173245,0.5728854229154169,1.0,0.7378152777777778,0.4074172892209178,"CLU, BRK1, HSP90AA1, SPIDR, FNIP2, SLF2"
KEGG,Axon guidance,81,PLXNC1,up,80,-0.01846945839934051,0.5730853829234153,1.0,0.7378152777777778,0.4324973319103522,"WNT5A, PIK3CD, SEMA4D, CFL1, MYL12A, ENAH"
WikiPathways,NRF2 Pathway WP2884,47,DNAJB1,up,46,-0.01780970092943829,0.5734853029394121,1.0,0.7378152777777778,0.5458022056207755,"HSP90AA1, RXRA, CBR1, GSTM3, MAFG, TXNRD1"
Reactome,TCF Dependent Signaling In Response To WNT R-HSA-201681,82,"SOX6, TRRAP",up,80,-0.021722877174033782,0.5744851029794041,1.0,0.7378152777777778,0.40385983635716827,"WNT5A, CSNK2A2, PPP2R5E, SFRP1, TNKS2, PSMD5"
GO:MF,Protein Kinase Inhibitor Activity (GO:0004860),16,IBTK,down,15,-0.027009577304124833,0.5750849830033993,1.0,0.7378152777777778,0.5448239060832444,"CIB1, MBIP, GSKIP, CDKN1B, SNCA, CAMK2N1"
GO:BP,Synapse Organization (GO:0050808),65,PPFIA4,up,64,-0.019274919301096816,0.5788842231553689,1.0,0.7378152777777778,0.47767698327997155,"CDH2, PTPRD, NRCAM, GPM6A, DSCAM, CACNB1"
Reactome,RNA Polymerase II Transcribes snRNA Genes R-HSA-6807505,39,ICE1,up,38,-0.025023777785367872,0.5800839832033593,1.0,0.7378152777777778,0.4352543578797581,"PHAX, SNAPC5, POLR2L, POLR2F, CDK9, CCNT1"
Reactome,GPCR Downstream Signaling R-HSA-388396,126,"PRKAR2A, GPNMB, SSTR1",up,123,-0.01776629501794715,0.5810837832433513,1.0,0.7378152777777778,0.47171824973319104,"PRKCB, RGS17, MCF2L, TRIO, AKAP13, CHGA"
KEGG,Apoptosis,52,CFLAR,up,51,-0.019037419090084003,0.5822835432913417,1.0,0.7378152777777778,0.551760939167556,"BOK, JUN, PIK3CD, RELA, DFFA, CTSB"
KEGG,Chagas disease,44,CFLAR,up,43,-0.020899266611004986,0.5840831833633273,1.0,0.7378152777777778,0.4407684098185699,"JUN, PIK3CD, CALR, PLCB4, C3, IFNGR2"
GO:BP,Cellular Response To Oxygen-Containing Compound (GO:1901701),131,"CPNE3, LGMN, SSTR1, CACNA1A",down,127,-0.02485403524781394,0.5852829434113177,1.0,0.7378152777777778,0.45126289576663114,"WNT3, LAMTOR1, TPM1, RYR3, DLG4, SETX"
GO:BP,Positive Regulation Of Cell Cycle (GO:0045787),29,LGMN,down,28,-0.029071128827386668,0.585882823435313,1.0,0.7378152777777778,0.5219672714336534,"CCNY, PSMD10, DUSP3, EIF4E, CCPG1, TTL"
Reactome,Signaling By GPCR R-HSA-372790,134,"PRKAR2A, GPNMB, SSTR1",up,131,-0.018630309615156236,0.585882823435313,1.0,0.7378152777777778,0.46691568836712916,"PRKCB, WNT5A, RGS17, MCF2L, TRIO, AKAP13"
KEGG,Cholinergic synapse,47,CACNA1A,up,46,-0.02249071274317153,0.5864827034593081,1.0,0.7378152777777778,0.45384204909284953,"PRKCB, PIK3CD, PLCB4, GNAO1, MAPK1, GNAI2"
GO:BP,Post-Transcriptional Regulation Of Gene Expression (GO:0010608),25,RBM4B,up,24,-0.024162946331974428,0.5866826634673066,1.0,0.7378152777777778,0.4118641053006048,"ZC3H7B, ATXN2, CELF1, GEMIN5, LARP4, EIF2S1"
GO:BP,Protein Catabolic Process (GO:0030163),36,LGMN,down,35,-0.030916550808719228,0.586882623475305,1.0,0.7378152777777778,0.49039487726787623,"CTSF, DDB1, TRIM24, RNF41, YME1L1, PRPF19"
GO:BP,Neuron Development (GO:0048666),81,"CNTN4, MANF",down,79,-0.030435291002504528,0.588882223555289,1.0,0.7378152777777778,0.49786552828175024,"CNTNAP2, TBC1D23, ARL3, ROBO2, RASGRF1, POU3F2"
KEGG,Metabolism of xenobiotics by cytochrome P450,11,GSTK1,up,10,-0.02962697632610798,0.5906818636272746,1.0,0.7378152777777778,0.5885805763073639,"CBR1, GSTM3, MGST3, HSD11B1L, GSTP1, GSTO1"
GO:BP,Cellular Response To Metal Ion (GO:0071248),50,"CPNE3, LGMN, CACNA1A",down,47,-0.02689651436261595,0.5914817036592681,1.0,0.7378152777777778,0.49039487726787623,"RYR3, DLG4, CAMK2D, MAPK8, SLC12A2, CHUK"
GO:BP,Positive Regulation Of Cell Projection Organization (GO:0031346),54,PLXNC1,up,53,-0.023809861177347933,0.5922815436912617,1.0,0.7378152777777778,0.4336535040910708,"WNT5A, PTPRD, SNX3, NTRK3, STYXL1, CAPRIN1"
GO:BP,Double-Strand Break Repair (GO:0006302),55,ZMYND8,up,54,-0.024750085482891235,0.5926814637072585,1.0,0.7378152777777778,0.3959445037353255,"YY1, EPC1, EYA3, INIP, SPIDR, ZSWIM7"
GO:CC,Calcium Channel Complex (GO:0034704),27,CACNA1A,up,26,-0.02986679093625683,0.5930813837232554,1.0,0.7378152777777778,0.4296513696193526,"CACNA2D3, CACNB1, CACNG3, SCN8A, CALM3, SCN7A"
GO:BP,Regulation Of Protein Phosphorylation (GO:0001932),101,"IBTK, GPNMB",up,99,-0.021781703264386665,0.5932813437312537,1.0,0.7378152777777778,0.5112059765208111,"SESN2, IGF1, SIRPA, TTN, PDGFA, SEMA4D"
GO:MF,Protein Serine/Threonine Kinase Inhibitor Activity (GO:0030291),13,PRKAR2A,up,12,-0.02811684925109148,0.5964807038592281,1.0,0.7378152777777778,0.6171291355389541,"KAT2B, HEXIM1, PKIB, PRKAR1B, PKIA, YWHAG"
Reactome,G-protein Mediated Events R-HSA-112040,29,PRKAR2A,up,28,-0.026512889781900282,0.5966806638672265,1.0,0.7378152777777778,0.46931696905016007,"PLCB4, MAPK1, GNAI2, GNAI3, CAMKK2, PRKAR1B"
GO:BP,Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),13,CACNA1A,up,12,-0.029762347888511915,0.5966806638672265,1.0,0.7378152777777778,0.33155460690145855,"CACNB1, PPP3CA, GNB5, CACNB2, NOS1AP, PPP3CB"
GO:BP,Regulation Of Translation (GO:0006417),104,RBM4B,up,103,-0.031817524753809334,0.597880423915217,1.0,0.7378152777777778,0.45233013162575597,"ENC1, EIF2AK2, CALR, EIF3E, ATXN2, EIF3H"
GO:BP,Positive Regulation Of Protein Modification Process (GO:0031401),81,GPNMB,up,80,-0.025491705228341745,0.5982803439312138,1.0,0.7378152777777778,0.5088046958377801,"SEMA4D, CAMTA1, HSP90AA1, SMPD1, RAB3GAP2, C3"
KEGG,Dopaminergic synapse,79,CACNA1A,up,78,-0.026695648757502053,0.598880223955209,1.0,0.7378152777777778,0.45001778726431874,"PRKCB, GRIN2A, MAOB, PLCB4, KIF5C, CALY"
GO:BP,Dendritic Spine Organization (GO:0097061),17,LGMN,down,16,-0.03481366275809705,0.6032793441311738,1.0,0.7378152777777778,0.4835467805051583,"DLG4, EPHB2, PICK1, CTNND2, PTEN, NOL3"
Reactome,Norepinephrine Neurotransmitter Release Cycle R-HSA-181430,13,PPFIA4,up,12,-0.035289815200182297,0.6036792641471705,1.0,0.7378152777777778,0.4452152258982569,"SNAP25, RAB3A, PPFIA1, CPLX1, STXBP1, MAOA"
GO:CC,Azurophil Granule (GO:0042582),68,CPNE3,down,67,-0.03515272928096021,0.6044791041791642,1.0,0.7378152777777778,0.4558875844895055,"LAMTOR1, NHLRC3, MGST1, GCA, FUCA2, FAF2"
GO:BP,Regulation Of Mitotic Cell Cycle (GO:0007346),47,"LGMN, L3MBTL1",down,45,-0.03244531388498015,0.6062787442511498,1.0,0.7378152777777778,0.4736748488082533,"ANAPC4, TTLL12, RNF20, DUSP3, DDB1, TMEM8B"
GO:BP,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),45,CNTN4,down,44,-0.03674987572726836,0.6080783843231353,1.0,0.7378152777777778,0.4815901814300961,"SLITRK5, BTBD3, DRD2, SLITRK1, CTNNA2, RAB10"
Reactome,Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion R-HSA-381676,19,PRKAR2A,up,18,-0.03274614301173844,0.6086782643471306,1.0,0.7378152777777778,0.5243685521166845,"GNB5, GNG4, GNAS, PRKAR1B, GNG7, GNG2"
KEGG,Spinocerebellar ataxia,84,CACNA1A,up,83,-0.03683157950213336,0.6102779444111178,1.0,0.7378152777777778,0.39078619708288864,"PRKCB, FGF14, GRIN2A, PIK3CD, PLCB4, ATXN2"
Reactome,Hedgehog Off State R-HSA-5610787,57,PRKAR2A,up,56,-0.04327433686038213,0.6114777044591082,1.0,0.7378152777777778,0.37113127001067236,"WDR19, PSMD5, UBA52, PSMB1, PSMA7, UBC"
Reactome,Glutathione Conjugation R-HSA-156590,15,GSTK1,up,14,-0.03875392808445862,0.611877624475105,1.0,0.7378152777777778,0.5727499110636785,"GSTM3, GCLM, PRNP, MGST3, ESD, GSTP1"
GO:MF,Kinase Activity (GO:0016301),44,TRRAP,up,43,-0.03449731517507326,0.6122775444911018,1.0,0.7378152777777778,0.4432586268231946,"EIF2AK2, PIK3CD, NEK1, IP6K2, PANK2, TAF1"
