threshold,n_genes,cohort,n,genes_measured,auc,ci_lo,ci_hi,accuracy
0.4,16,GSE114517,29,16,0.9019607843137255,0.7631446039340776,0.9950980392156863,0.7931034482758621
0.4,16,GSE168496,16,16,0.984375,0.9062127976190476,1.0,0.875
0.44,16,GSE7621,25,16,0.9583333333333333,0.861111111111111,1.0,0.84
0.44,16,GSE20292,29,15,0.4823232323232323,0.27222222222222225,0.6887295751633987,0.5172413793103449
0.44,16,GSE20163,17,15,0.4027777777777778,0.09999999999999999,0.7424242424242424,0.5882352941176471
0.44,16,GSE20164,11,15,0.7333333333333334,0.3333333333333333,1.0,0.6363636363636364
0.44,16,GSE8397,23,15,0.775,0.5384615384615384,0.9509803921568628,0.5652173913043478
0.44,16,GSE49036,23,16,0.9333333333333333,0.7936507936507937,1.0,0.6521739130434783
0.44,16,GSE114517,29,16,0.9019607843137255,0.7646988122171945,0.9949532085561497,0.7931034482758621
0.44,16,GSE168496,16,16,0.984375,0.9061755952380952,1.0,0.875
0.48,14,GSE7621,25,14,0.9097222222222223,0.7619047619047619,1.0,0.88
0.48,14,GSE20292,29,13,0.46212121212121215,0.2571031746031746,0.6767956002331004,0.5172413793103449
0.48,14,GSE20163,17,13,0.33333333333333337,0.06937500000000002,0.6571428571428571,0.35294117647058826
0.48,14,GSE20164,11,13,0.8,0.46428571428571425,1.0,0.6363636363636364
0.48,14,GSE8397,23,13,0.75,0.5,0.9500000000000001,0.6086956521739131
0.48,14,GSE49036,23,14,0.9333333333333333,0.8026054720133667,1.0,0.6956521739130435
0.48,14,GSE114517,29,14,0.8774509803921569,0.7058823529411765,1.0,0.8620689655172413
0.48,14,GSE168496,16,14,0.953125,0.8095238095238095,1.0,0.9375
0.52,11,GSE7621,25,11,0.9236111111111112,0.7933051948051949,1.0,0.76
0.52,11,GSE20292,29,10,0.46464646464646464,0.25263157894736843,0.6726190476190477,0.5172413793103449
0.52,11,GSE20163,17,10,0.5,0.18181818181818182,0.8181818181818181,0.5294117647058824
0.52,11,GSE20164,11,10,0.8333333333333334,0.5333333333333333,1.0,0.7272727272727273
0.52,11,GSE8397,23,10,0.7916666666666666,0.5681439393939394,0.9642857142857143,0.6086956521739131
0.52,11,GSE49036,23,11,0.9083333333333333,0.75,1.0,0.6521739130434783
0.52,11,GSE114517,29,11,0.8529411764705882,0.6904761904761905,0.9675324675324675,0.7241379310344828
0.52,11,GSE168496,16,11,0.96875,0.859375,1.0,0.875
0.56,9,GSE7621,25,9,0.9166666666666667,0.7719024122807018,1.0,0.88
0.56,9,GSE20292,29,8,0.4292929292929293,0.22549019607843135,0.644927536231884,0.4482758620689655
0.56,9,GSE20163,17,8,0.4861111111111111,0.19444444444444442,0.8030303030303031,0.4117647058823529
0.56,9,GSE20164,11,8,0.7666666666666666,0.33333333333333337,1.0,0.8181818181818182
0.56,9,GSE8397,23,8,0.6833333333333333,0.43333333333333335,0.8923076923076924,0.6521739130434783
0.56,9,GSE49036,23,9,0.925,0.788888888888889,1.0,0.7391304347826086
0.56,9,GSE114517,29,9,0.8578431372549019,0.6971153846153846,0.9759672619047619,0.7931034482758621
0.56,9,GSE168496,16,9,0.953125,0.8204545454545454,1.0,0.6875
0.6,8,GSE7621,25,8,0.9236111111111112,0.7948717948717948,1.0,0.88
0.6,8,GSE20292,29,7,0.35353535353535354,0.15656565656565657,0.563172084623323,0.4827586206896552
0.6,8,GSE20163,17,7,0.5277777777777778,0.2121212121212121,0.8333333333333333,0.47058823529411764
