size_8,size_14,size_30
0.49941011612211883,0.4911731004365313,0.5877415561600362
0.5856255946063834,0.5561517504181563,0.710014373589688
0.621194454748093,0.5045078891602183,0.7334480902187466
0.6572643297991819,0.5922882557296872,0.6630107819095409
0.5313178538187038,0.6174520193433828,0.6974872621145147
0.6566458532966524,0.450453489330572,0.541120229840053
0.47857272572717996,0.5986268456410415,0.6906557714169921
0.4430828602241387,0.5382418626935799,0.5587776781758421
0.6357401797643211,0.6021728677458021,0.7379403092468376
0.6488927871025798,0.5657107027431747,0.5437852255983844
0.4595505376787254,0.45432373290882305,0.6159773096486799
0.5469400739801964,0.5094968299108048,0.6932279055430195
0.5563884338110792,0.49200612895359586,0.5945671222596589
0.5194684862909956,0.47633172510552657,0.475864991293417
0.5886507028805568,0.49987481067045847,0.6771745635546214
0.6377732613451756,0.6966736817340354,0.7250185465673396
0.6268629425846359,0.7146723954952447,0.5377452483007567
0.5604329378449575,0.6030264820939761,0.46564720650915825
0.6810582662737543,0.658206169137825,0.5715439416263965
0.4984371726445001,0.597316243014985,0.6466646660415787
0.5923962079138889,0.598072809873643,0.5352480302858575
0.6023949543033188,0.6191707537805804,0.4405426674085293
0.5297726929272322,0.7040701128936424,0.6246328466576682
0.5107934582135534,0.5195142087313117,0.6112967485119813
0.6239889115569156,0.5481781432138453,0.5278743744826709
0.5622350030395763,0.5594387645581967,0.7313247229177186
0.4743042032016871,0.4662825552361424,0.5710054471955186
0.5625627878581806,0.5473037927730209,0.4417180346477354
0.6819723072273225,0.5563341464629291,0.6814205897808414
0.5435995881975141,0.4001921201130654,0.7109109627385723
0.5121475293568118,0.6195194034874415,0.3143723017320433
0.5449328373843845,0.6837255159551997,0.578901562376571
0.5838069791763263,0.6618900669393699,0.5996720649198548
0.5964756370230699,0.5860054128500235,0.7055333168474957
0.4815264168375355,0.56728574421536,0.6624752712435473
0.7373959760817972,0.5082581810969264,0.6452542253545314
0.5425089899333354,0.5314423991702129,0.5775114928612888
0.6502596090108841,0.5772622089648611,0.6489944712339306
0.43488763871286823,0.5406275437132289,0.5625857564080108
0.5572674638256073,0.5714946558409666,0.6474897736288421
0.6891429382227581,0.6099106501945672,0.6232572022503169
0.5474805432770411,0.6370237997108109,0.6341477508852551
0.5967020811652739,0.662407954073204,0.7083636003008666
0.5253354052253236,0.5671972401677434,0.6218020480218712
0.4670878497659355,0.5315414429916301,0.5639723484419166
0.518281505981268,0.6162120611075048,0.6574654226728351
0.5765176844954132,0.6692234311836488,0.7093958970871586
0.6112088240445942,0.5271357746111232,0.6206347519740074
0.422559473517906,0.5710628041722908,0.5960406942598374
0.6442633578216713,0.5442722447185215,0.6989819995260321
0.5793234538516756,0.5091271006563424,0.6991936107075515
0.5610853090579374,0.4730572900030567,0.6930329304606762
0.6494609474548271,0.4893332337313977,0.6705009977366319
0.5153706823419506,0.5861028467263592,0.499587274478893
0.47017922337966545,0.4582229125666732,0.6169495662163973
0.4742195844882006,0.6778872969751922,0.7058007394585089
0.4797528584038275,0.4603458076171439,0.5887105499057217
0.6578497058308348,0.6039300262056126,0.5944599428490962
0.4433808717917014,0.48506471120590466,0.5492173520310208
0.5491441531946462,0.5890227289900021,0.4745271483965806
0.5182290861694125,0.5829427177246796,0.6945175144852125
0.6516284272510897,0.5736392744170711,0.5827209531561792
0.49022226687136583,0.4440408419454662,0.6107878126728008
0.6298975388018231,0.5430276069089398,0.597224454679402
0.5335525005237688,0.5677874031027721,0.5174712313546894
0.5542614173011997,0.6269086220930832,0.6271769033414732
0.6208896170133844,0.5758735776671853,0.6984153417891943
0.7363099285957158,0.6420012776524167,0.7085743099131403
0.5281588839774831,0.5334869864919167,0.6058955759567797
0.5992729702671049,0.6376326594747199,0.7017783668030182
